time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz, p5_ux,p5_uy,p5_uz, p6_ux,p6_uy,p6_uz, p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.026169897,0.00027401337,-3.3088976e-07,0.029125708,5.0548667e-05,-2.6473169e-07,0.02976977,1.2607012e-05,-2.0429233e-07,0.029939466,3.4173542e-06,-1.5854426e-07,0.029986272,9.4398558e-07,-1.2033425e-07,0.029999398,2.5648202e-07,-8.8441354e-08,0.030003373,4.8966628e-08,-5.4526853e-08,0.030004424,-4.7531773e-09,-2.7321464e-08
0.132,0.026117694,0.00027875347,8.7015436e-08,0.029121316,5.127777e-05,7.0612183e-08,0.029774528,1.2774157e-05,5.5930593e-08,0.029946498,3.469881e-06,4.4242224e-08,0.029993901,9.728416e-07,3.408678e-08,0.030007158,2.8153988e-07,2.5285923e-08,0.030011111,7.5507321e-08,1.5706254e-08,0.030012067,2.1677198e-08,7.7740347e-09
0.20775783,0.026068991,0.00028336783,-4.4570395e-09,0.029118518,5.1943204e-05,-2.3603386e-09,0.029780398,1.2912518e-05,-1.0699725e-09,0.029954537,3.4984139e-06,-6.7438894e-10,0.030002532,9.7480562e-07,-5.0714863e-10,0.030015956,2.779152e-07,-4.5463139e-10,0.030019959,7.2531429e-08,-5.9486005e-10,0.030020928,2.0039054e-08,-6.6980032e-10
0.28577473,0.026026549,0.00028761428,-5.6701732e-09,0.029117577,5.2542852e-05,-3.0491943e-09,0.029787152,1.303581e-05,-1.3364578e-09,0.029963199,3.5247241e-06,-8.0501353e-10,0.03001171,9.7899297e-07,-5.9389766e-10,0.030025276,2.7755474e-07,-5.1051443e-10,0.030029322,7.171821e-08,-6.4019425e-10,0.030030302,1.9614668e-08,-7.0360699e-10
0.36527225,0.025988043,0.00029161124,-6.3794314e-09,0.029117732,5.3090714e-05,-3.4864992e-09,0.029794366,1.3145743e-05,-1.4471348e-09,0.029972154,3.5471417e-06,-8.2902363e-10,0.030021133,9.8196733e-07,-6.0403006e-10,0.030034829,2.7676699e-07,-5.105309e-10,0.030038914,7.0732488e-08,-6.4214167e-10,0.030039904,1.9170251e-08,-7.0755543e-10
0.44564945,0.025950726,0.00029554618,-6.7753081e-09,0.029118276,5.3621291e-05,-3.8908655e-09,0.029801755,1.325086e-05,-1.5676975e-09,0.029981226,3.5680839e-06,-8.6460915e-10,0.030030658,9.8445916e-07,-6.2333773e-10,0.030044479,2.7580654e-07,-5.1701152e-10,0.030048601,6.967933e-08,-6.4653023e-10,0.0300496,1.8716679e-08,-7.0959206e-10
0.52671231,0.025912788,0.00029956887,-7.0480373e-09,0.029118824,5.4155743e-05,-4.3032347e-09,0.029809188,1.3356145e-05,-1.6921914e-09,0.029990347,3.5889321e-06,-8.9660461e-10,0.030040232,9.8687499e-07,-6.3640629e-10,0.030054178,2.7479659e-07,-5.1682342e-10,0.030058337,6.8595289e-08,-6.4489172e-10,0.030059346,1.825889e-08,-7.0742183e-10
0.60840974,0.025874056,0.00030369567,-7.1524711e-09,0.029119335,5.4695726e-05,-4.7287879e-09,0.029816645,1.3461982e-05,-1.8351192e-09,0.029999501,3.6097962e-06,-9.3519225e-10,0.03004984,9.8925241e-07,-6.5149099e-10,0.030063912,2.7376198e-07,-5.1807154e-10,0.030068109,6.7499199e-08,-6.4506868e-10,0.030069127,1.7802313e-08,-7.0523671e-10
0.69072619,0.025834329,0.0003079396,-7.004742e-09,0.029119755,5.524375e-05,-5.1409844e-09,0.029824106,1.3568971e-05,-1.9953208e-09,0.030008679,3.6308133e-06,-9.8690526e-10,0.030059477,9.9160973e-07,-6.7646702e-10,0.030073676,2.7268726e-07,-5.2637783e-10,0.03007791,6.6374457e-08,-6.4883778e-10,0.030078938,1.7341643e-08,-7.054161e-10
0.77365934,0.025793833,0.00031228168,-6.5622306e-09,0.029120124,5.5797241e-05,-5.4949909e-09,0.029831581,1.3676585e-05,-2.131088e-09,0.030017882,3.6518568e-06,-1.0188487e-09,0.030069143,9.939173e-07,-6.8706274e-10,0.030083469,2.7156769e-07,-5.2457783e-10,0.030087741,6.5221358e-08,-6.4584399e-10,0.030088778,1.6876735e-08,-7.0254817e-10
0.85722094,0.025752592,0.00031672331,-6.1283143e-09,0.029120454,5.6356056e-05,-5.9494098e-09,0.029839073,1.378482e-05,-2.3150811e-09,0.030027112,3.6729534e-06,-1.0672764e-09,0.030078837,9.9620232e-07,-7.0381479e-10,0.03009329,2.7042716e-07,-5.2566725e-10,0.0300976,6.4056027e-08,-6.4481485e-10,0.030098648,1.6408663e-08,-7.0025463e-10
0.94141321,0.025710503,0.00032127456,-5.659018e-09,0.029120728,5.6921105e-05,-6.4930291e-09,0.029846579,1.3893811e-05,-2.542507e-09,0.030036368,3.6941131e-06,-1.1305551e-09,0.030088558,9.984542e-07,-7.2656137e-10,0.03010314,2.6925371e-07,-5.3039332e-10,0.030107488,6.2869789e-08,-6.4598003e-10,0.030108545,1.5933191e-08,-6.9891211e-10
1.0262484,0.025667379,0.0003259485,-5.0527051e-09,0.029120906,5.7494485e-05,-7.105893e-09,0.029854088,1.4003934e-05,-2.8176924e-09,0.030045646,3.71539e-06,-1.2161137e-09,0.030098308,1.0006657e-06,-7.6129093e-10,0.030113019,2.6803378e-07,-5.4249996e-10,0.030117405,6.1653239e-08,-6.5142412e-10,0.030118472,1.5443515e-08,-6.9961813e-10
1.1117293,0.025623029,0.00033076103,-4.5023484e-09,0.029120954,5.8078019e-05,-7.802077e-09,0.029861592,1.4115489e-05,-3.1157593e-09,0.030054946,3.7368161e-06,-1.2972486e-09,0.030108085,1.0028216e-06,-7.8659112e-10,0.030122927,2.6675029e-07,-5.459694e-10,0.030127351,6.0395575e-08,-6.5080068e-10,0.030128428,1.4934927e-08,-6.9710078e-10
1.1978474,0.025578727,0.00033558914,-3.2791875e-09,0.029121083,5.8658693e-05,-8.3688637e-09,0.029869141,1.4225859e-05,-3.3967555e-09,0.030064278,3.7577923e-06,-1.3785385e-09,0.03011789,1.0047995e-06,-8.1782824e-10,0.030132862,2.6539969e-07,-5.5911457e-10,0.030137325,5.911354e-08,-6.5985351e-10,0.030138411,1.4414107e-08,-6.9939969e-10
1.2845697,0.025533396,0.00034052642,-2.2817187e-09,0.029121092,5.9248311e-05,-9.1317478e-09,0.029876683,1.4337537e-05,-3.7641979e-09,0.030073626,3.7789097e-06,-1.4874589e-09,0.030127717,1.0067267e-06,-8.5437407e-10,0.030142819,2.6397959e-07,-5.6586768e-10,0.030147321,5.7783901e-08,-6.5928898e-10,0.030148417,1.3874509e-08,-6.9709155e-10
1.3718618,0.025486907,0.0003455964,-6.0618629e-10,0.029120972,5.9847993e-05,-9.7903021e-09,0.029884211,1.4450864e-05,-4.1181831e-09,0.030082984,3.8003344e-06,-1.5904828e-09,0.03013756,1.0086944e-06,-8.8899254e-10,0.030152795,2.6256041e-07,-5.755841e-10,0.030157336,5.6453843e-08,-6.6374949e-10,0.030158441,1.3335742e-08,-6.9802347e-10
1.4596914,0.025439197,0.00035081084,1.2242283e-09,0.029120718,6.0458259e-05,-1.0520645e-08,0.029891722,1.4565991e-05,-4.5183287e-09,0.03009235,3.8221436e-06,-1.7081505e-09,0.030147415,1.0107413e-06,-9.2636098e-10,0.030162784,2.6114565e-07,-5.8300391e-10,0.030167364,5.5112106e-08,-6.6457613e-10,0.03016848,1.2783468e-08,-6.9696769e-10
1.5480252,0.025389568,0.00035622487,4.4212837e-09,0.029120196,6.1085697e-05,-1.0870758e-08,0.029899181,1.4684014e-05,-4.827014e-09,0.030101709,3.8444617e-06,-1.7927637e-09,0.030157276,1.0128235e-06,-9.4483731e-10,0.030172782,2.5969145e-07,-5.766309e-10,0.030177402,5.3736828e-08,-6.5561086e-10,0.030178528,1.2213628e-08,-6.911939e-10
1.6368323,0.025338026,0.00036184541,7.2562245e-09,0.029119414,6.1729775e-05,-1.1492632e-08,0.029906584,1.480468e-05,-5.2561784e-09,0.030111058,3.8671674e-06,-1.9315256e-09,0.030167139,1.0148769e-06,-9.9610541e-10,0.030182784,2.5816525e-07,-5.9558599e-10,0.030187445,5.2309959e-08,-6.6440317e-10,0.030188581,1.1605522e-08,-6.944513e-10
1.7260943,0.02528531,0.00036761545,9.9743681e-09,0.029118515,6.238314e-05,-1.2295728e-08,0.029913968,1.4926808e-05,-5.7401549e-09,0.030120405,3.8901645e-06,-2.0644499e-09,0.030177004,1.0169826e-06,-1.0260045e-09,0.03019279,2.5663465e-07,-5.9017028e-10,0.030197493,5.0869726e-08,-6.5305934e-10,0.030198639,1.0986749e-08,-6.8763453e-10
1.8158083,0.025231724,0.00037350289,1.2411998e-08,0.029117546,6.3041536e-05,-1.3366854e-08,0.029921342,1.5049187e-05,-6.3499319e-09,0.030129753,3.9130025e-06,-2.2586631e-09,0.030186871,1.0189478e-06,-1.0966329e-09,0.030202798,2.5502928e-07,-6.1957453e-10,0.030207542,4.9395928e-08,-6.6843063e-10,0.030208699,1.0340982e-08,-6.9493563e-10
1.9059634,0.025177516,0.00037948006,1.4662447e-08,0.029116546,6.3702019e-05,-1.4663417e-08,0.029928716,1.5171111e-05,-7.0360798e-09,0.030139103,3.935449e-06,-2.459405e-09,0.03019674,1.020684e-06,-1.1549904e-09,0.030212808,2.532966e-07,-6.3273381e-10,0.030217593,4.785726e-08,-6.7034047e-10,0.03021876,9.6568095e-09,-6.9511523e-10
1.9965455,0.025122683,0.00038554781,1.7014608e-08,0.029115506,6.4365789e-05,-1.6058041e-08,0.029936085,1.529308e-05,-7.781556e-09,0.030148452,3.9577424e-06,-2.6818048e-09,0.030206608,1.022311e-06,-1.2212507e-09,0.030222817,2.515012e-07,-6.492263e-10,0.030227644,4.6286446e-08,-6.7338866e-10,0.030228821,8.9478885e-09,-6.9619692e-10
2.0875455,0.025066862,0.00039174139,1.9517073e-08,0.029114364,6.503696e-05,-1.7567779e-08,0.029943433,1.5416052e-05,-8.5948516e-09,0.030157795,3.9801662e-06,-2.9285007e-09,0.030216474,1.0239253e-06,-1.2965359e-09,0.030232825,2.4968249e-07,-6.7048867e-10,0.030237693,4.4700377e-08,-6.786786e-10,0.03023888,8.2203087e-09,-6.9871895e-10
2.1785814,0.02501024,0.00039804319,2.210162e-08,0.029113127,6.5712505e-05,-1.9220067e-08,0.029950731,1.5539335e-05,-9.4726831e-09,0.030167093,4.002534e-06,-3.1891144e-09,0.030226296,1.0254716e-06,-1.370724e-09,0.030242788,2.4781531e-07,-6.8682088e-10,0.030247698,4.3083857e-08,-6.7952076e-10,0.030248895,7.4628982e-09,-6.9906192e-10
2.2696471,0.024952745,0.00040446488,2.4744952e-08,0.029111786,6.6393532e-05,-2.09984e-08,0.029957975,1.566329e-05,-1.0418271e-08,0.030176346,4.0250055e-06,-3.4728957e-09,0.030236073,1.0270277e-06,-1.4528369e-09,0.030252707,2.4594659e-07,-7.0659654e-10,0.030257658,4.1464777e-08,-6.8248778e-10,0.030258866,6.6894259e-09,-7.0068486e-10
2.3607483,0.024894259,0.00041101587,2.7462481e-08,0.029110323,6.7080514e-05,-2.2920458e-08,0.029965163,1.5787861e-05,-1.1437817e-08,0.030185553,4.0474959e-06,-3.7798116e-09,0.030245806,1.0285357e-06,-1.5407118e-09,0.030262583,2.4403957e-07,-7.2684795e-10,0.030267575,3.9824294e-08,-6.8456034e-10,0.030268793,5.8940562e-09,-7.0227688e-10
2.4518977,0.024834763,0.00041770095,3.0427625e-08,0.02910874,6.7774056e-05,-2.4937628e-08,0.029972297,1.591327e-05,-1.2512888e-08,0.030194715,4.0701086e-06,-4.0987755e-09,0.030255497,1.030048e-06,-1.626806e-09,0.030272417,2.4212364e-07,-7.4278255e-10,0.03027745,3.81761e-08,-6.8344642e-10,0.030278679,5.0769534e-09,-7.0200101e-10
2.5431324,0.024774695,0.00042447464,3.2731399e-08,0.029107106,6.8468865e-05,-2.734506e-08,0.029979396,1.6038161e-05,-1.373502e-08,0.030203842,4.0923636e-06,-4.4688308e-09,0.030265152,1.0313604e-06,-1.7349582e-09,0.030282213,2.4009883e-07,-7.7224633e-10,0.030287288,3.6467609e-08,-6.9047779e-10,0.030288527,4.2062643e-09,-7.05434e-10
2.6344823,0.024713972,0.00043134911,3.5308398e-08,0.029105413,6.9166851e-05,-2.9845317e-08,0.02998646,1.6163215e-05,-1.5017791e-08,0.030212936,4.114578e-06,-4.8562118e-09,0.030274773,1.0326376e-06,-1.8451582e-09,0.030291976,2.3805662e-07,-7.9977803e-10,0.030297093,3.4754636e-08,-6.9530196e-10,0.030298342,3.3258355e-09,-7.0858617e-10
2.7259659,0.024652095,0.00043837916,3.8457289e-08,0.029103592,6.9871606e-05,-3.2331998e-08,0.029993476,1.6288864e-05,-1.6349085e-08,0.030221995,4.1367351e-06,-5.2714356e-09,0.030284362,1.033813e-06,-1.970334e-09,0.030301708,2.3594813e-07,-8.3675734e-10,0.030306865,3.3011425e-08,-7.0590207e-10,0.030308124,2.4249346e-09,-7.1585118e-10
2.8175916,0.024589379,0.0004455308,4.1338319e-08,0.029101694,7.05791e-05,-3.5057076e-08,0.030000457,1.6414086e-05,-1.777093e-08,0.030231022,4.1584725e-06,-5.7071136e-09,0.03029392,1.034734e-06,-2.0955546e-09,0.030311408,2.3369575e-07,-8.6940701e-10,0.030316607,3.1189874e-08,-7.1220105e-10,0.030317877,1.4618725e-09,-7.1991593e-10
2.9093617,0.024525141,0.00045286822,4.5290672e-08,0.029099595,7.129964e-05,-3.7589822e-08,0.030007371,1.6541782e-05,-1.9178883e-08,0.030240012,4.1808679e-06,-6.1449028e-09,0.030303446,1.0358627e-06,-2.2222913e-09,0.030321079,2.3152082e-07,-9.0354868e-10,0.030326319,2.9395147e-08,-7.1993119e-10,0.030327599,4.8742727e-10,-7.2439108e-10
3.0012821,0.024459367,0.00046039306,4.9749322e-08,0.029097297,7.2032002e-05,-4.0185818e-08,0.030014221,1.6671326e-05,-2.0655883e-08,0.030248963,4.2035886e-06,-6.6097895e-09,0.030312941,1.0370217e-06,-2.3585692e-09,0.030330719,2.2932619e-07,-9.4149794e-10,0.030336001,2.7580594e-08,-7.2900092e-10,0.030337291,-5.1403059e-10,-7.2963593e-10
3.0933615,0.024392403,0.00046807892,5.4134755e-08,0.029094864,7.2772395e-05,-4.2969359e-08,0.030021023,1.6801888e-05,-2.2219409e-08,0.030257881,4.2264187e-06,-7.0991012e-09,0.030322406,1.0381512e-06,-2.4993566e-09,0.03034033,2.2709548e-07,-9.7932879e-10,0.030345655,2.5742423e-08,-7.3710967e-10,0.030346955,-1.543134e-09,-7.3443223e-10
3.1856064,0.024324449,0.00047590645,5.8529445e-08,0.029092334,7.3517832e-05,-4.5951645e-08,0.030027787,1.6932674e-05,-2.3883261e-08,0.030266771,4.2490801e-06,-7.6206491e-09,0.030331844,1.0391386e-06,-2.6489613e-09,0.030349914,2.2477906e-07,-1.019581e-09,0.030355281,2.3859197e-08,-7.4582812e-10,0.030356592,-2.6100681e-09,-7.393365e-10
3.2780199,0.024255515,0.00048387833,6.3016823e-08,0.029089714,7.4268327e-05,-4.9142555e-08,0.030034515,1.7063753e-05,-2.5652282e-08,0.030275632,4.2716235e-06,-8.1754331e-09,0.030341254,1.0400143e-06,-2.8073395e-09,0.030359471,2.2239315e-07,-1.0620187e-09,0.030364881,2.1938691e-08,-7.547879e-10,0.030366202,-3.7102408e-09,-7.4419193e-10
