time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz, p5_ux,p5_uy,p5_uz, p6_ux,p6_uy,p6_uz, p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.028039879,0.00012729408,-3.9706841e-07,0.029534657,2.6131142e-05,-3.2491711e-07,0.029880467,6.5784294e-06,-2.7343153e-07,0.029970983,1.7460621e-06,-2.2030925e-07,0.029994289,5.2763708e-07,-1.7212959e-07,0.030001741,1.4816115e-07,-1.2533428e-07,0.030004,4.5144043e-08,-7.7371389e-08,0.030004635,2.3888651e-08,-3.9223505e-08
0.1310218,0.028013694,0.00012959614,1.0417256e-07,0.029534747,2.6559396e-05,8.7142014e-08,0.029886265,6.686964e-06,7.46526e-08,0.029978224,1.7787777e-06,6.1802294e-08,0.030001872,5.4042917e-07,4.9776659e-08,0.030009388,1.5137191e-07,3.6744715e-08,0.030011594,3.8021474e-08,2.2515911e-08,0.030012122,1.0402525e-08,1.1240639e-08
0.20476094,0.027990366,0.00013178094,-1.8335437e-09,0.029536169,2.6938534e-05,-8.0001431e-10,0.029893056,6.7703458e-06,-2.9616296e-10,0.029986398,1.7988174e-06,-5.6878192e-10,0.030010409,5.4556802e-07,-4.3148359e-10,0.030018041,1.5166e-07,-3.5943663e-10,0.03002028,3.7536781e-08,-4.1935782e-10,0.030020813,9.7409142e-09,-4.0982061e-10
0.28065524,0.027970846,0.00013375724,-1.9070628e-09,0.029538886,2.7273662e-05,-9.7008431e-10,0.029900527,6.8408285e-06,-4.0088765e-10,0.029995079,1.8123066e-06,-6.8875014e-10,0.030019398,5.4712572e-07,-5.2433299e-10,0.030027128,1.5071705e-07,-4.2970373e-10,0.030029396,3.6637801e-08,-4.7599029e-10,0.030029936,9.2877904e-09,-4.4658499e-10
0.35795328,0.027953864,0.0001355868,-1.4916114e-09,0.02954239,2.7575951e-05,-8.7787519e-10,0.029908368,6.9025613e-06,-3.3637752e-10,0.03000402,1.8233115e-06,-6.7828268e-10,0.030028619,5.4787094e-07,-5.246292e-10,0.030036437,1.4952219e-07,-4.2943242e-10,0.030038731,3.566013e-08,-4.7672547e-10,0.030039277,8.8035237e-09,-4.5053321e-10
0.43610688,0.02793777,0.00013736924,-8.4192978e-10,0.029546196,2.7865982e-05,-7.8644871e-10,0.029916358,6.9608126e-06,-3.1708855e-10,0.030013069,1.8332308e-06,-6.9675424e-10,0.030037936,5.482037e-07,-5.4353352e-10,0.03004584,1.4816763e-07,-4.4178571e-10,0.030048159,3.4622006e-08,-4.8594609e-10,0.030048711,8.298856e-09,-4.5744749e-10
0.51492278,0.027921524,0.00013917455,7.1956917e-12,0.029550036,2.8156887e-05,-6.1500706e-10,0.029924396,7.018894e-06,-2.4904913e-10,0.030022166,1.8429987e-06,-6.7412886e-10,0.030047302,5.4844982e-07,-5.3212383e-10,0.030055291,1.4677178e-07,-4.3353106e-10,0.030057634,3.3563668e-08,-4.8204165e-10,0.030058193,7.7841966e-09,-4.5734827e-10
0.59432194,0.027905036,0.00014100873,8.7171274e-10,0.029553878,2.8449741e-05,-4.9204371e-10,0.02993246,7.0771515e-06,-2.1069205e-10,0.030031294,1.852741e-06,-6.6027824e-10,0.030056699,5.4864796e-07,-5.2181382e-10,0.030064773,1.4533642e-07,-4.2439279e-10,0.030067142,3.2484928e-08,-4.7875975e-10,0.030067707,7.2603575e-09,-4.5737758e-10
0.6742756,0.027888184,0.00014287723,2.0443175e-09,0.029557683,2.8745776e-05,-3.0093023e-10,0.029940535,7.1357915e-06,-1.6446709e-10,0.030040444,1.8624622e-06,-6.5158904e-10,0.030066121,5.4879018e-07,-5.2108107e-10,0.03007428,1.4386176e-07,-4.2426081e-10,0.030076674,3.1383101e-08,-4.8028681e-10,0.030077246,6.7228671e-09,-4.5976732e-10
