time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz, p5_ux,p5_uy,p5_uz, p6_ux,p6_uy,p6_uz, p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.023761838,0.0020231576,1.2249124e-08,0.02799311,0.00039650244,1.0820694e-08,0.028903792,0.00016880132,1.0245389e-08,0.029624557,4.115577e-05,7.1326187e-09,0.029824645,1.6769787e-05,5.5716946e-09,0.029877933,1.1297019e-05,5.3164533e-09,0.029983112,1.9346834e-06,7.2378156e-09,0.030003284,3.8502063e-07,9.4365136e-09
0.132,0.023197271,0.0024129063,2.2343295e-08,0.027873306,0.00043987738,1.6030208e-08,0.028854852,0.0001820726,1.2797453e-08,0.029618079,4.3294892e-05,6.5624155e-09,0.029827594,1.7523776e-05,3.451534e-09,0.029883217,1.1781398e-05,2.3883477e-09,0.029992765,2.0073931e-06,-1.5137376e-10,0.030013706,4.0017203e-07,-7.2232576e-10
0.2184,0.022641836,0.0028391563,3.952998e-08,0.027759181,0.00048496033,2.9247298e-08,0.028809678,0.00019550293,2.3347696e-08,0.029614041,4.5356226e-05,1.2789082e-08,0.029832628,1.8217861e-05,7.4707365e-09,0.029890502,1.2217147e-05,5.6343416e-09,0.030004298,2.0597115e-06,1.0758119e-09,0.030026025,4.0385523e-07,-1.2729088e-10
0.32208,0.021992447,0.0033519659,5.8518574e-08,0.027638413,0.00053574265,4.3583841e-08,0.028763469,0.00021027041,3.4552365e-08,0.029611657,4.7527392e-05,1.890972e-08,0.029839762,1.8935246e-05,1.102219e-08,0.029899988,1.266381e-05,8.311459e-09,0.030018208,2.1099494e-06,1.6483274e-09,0.030040751,4.05787e-07,-2.5393922e-11
0.446496,0.021185974,0.0039927236,8.1939682e-08,0.027503696,0.000594837,6.1338167e-08,0.028713648,0.00022722485,4.848197e-08,0.029610619,4.9901933e-05,2.6561981e-08,0.029849112,1.9704719e-05,1.5512315e-08,0.02991189,1.3138909e-05,1.1730478e-08,0.030034894,2.1597214e-06,2.483669e-09,0.030058319,4.0584686e-07,1.9939358e-10
0.58816201,0.020242643,0.0046861991,1.0932716e-07,0.027355698,0.00066169961,8.2237558e-08,0.028660304,0.00024641534,6.4959487e-08,0.029610651,5.244764e-05,3.5661652e-08,0.029860258,2.0513923e-05,2.0880929e-08,0.029925749,1.3634676e-05,1.5838955e-08,0.030053821,2.2083263e-06,3.5582842e-09,0.030078177,4.0413635e-07,5.3818214e-10
0.73129434,0.01927824,0.0052954722,1.3736526e-07,0.027209956,0.00073078372,1.0374559e-07,0.028608245,0.0002661132,8.191968e-08,0.029611449,5.4922638e-05,4.4943778e-08,0.029871824,2.1285927e-05,2.6299029e-08,0.029939927,1.410422e-05,1.9967019e-08,0.030072853,2.2515532e-06,4.6229701e-09,0.030098096,4.010427e-07,8.7543947e-10
0.87549068,0.01832292,0.005796729,1.6568324e-07,0.027064091,0.00080748012,1.2583866e-07,0.028556259,0.00028653745,9.9359274e-08,0.029612628,5.7370955e-05,5.4399743e-08,0.029883606,2.2035628e-05,3.174776e-08,0.029954261,1.4557129e-05,2.4091843e-08,0.030091911,2.2909447e-06,5.6543298e-09,0.030118015,3.9694043e-07,1.2009253e-09
1.0204792,0.017436211,0.0062017023,1.9458039e-07,0.026914977,0.00090075566,1.4861945e-07,0.028503491,0.000307682,1.1735967e-07,0.029613922,5.9826062e-05,6.4096593e-08,0.029895467,2.2773659e-05,3.7288659e-08,0.029968647,1.5000144e-05,2.827349e-08,0.030110947,2.3275107e-06,6.7058765e-09,0.030137892,3.9195438e-07,1.538853e-09
1.1660892,0.016621331,0.0065231262,2.2398816e-07,0.026758089,0.0010196036,1.7215469e-07,0.028449408,0.00032935356,1.3598324e-07,0.029615133,6.2315139e-05,7.4080171e-08,0.029907309,2.3508348e-05,4.2952788e-08,0.02998301,1.5438535e-05,3.253771e-08,0.030129927,2.3620977e-06,7.7890691e-09,0.030157702,3.8624603e-07,1.8919564e-09
1.3122049,0.015865662,0.0067701926,2.5376596e-07,0.026588227,0.0011710887,1.9636244e-07,0.028394045,0.00035136799,1.551404e-07,0.029616172,6.4851575e-05,8.4249284e-08,0.029919085,2.4243656e-05,4.8645643e-08,0.029997311,1.5874866e-05,3.6796945e-08,0.030148829,2.3952219e-06,8.8472479e-09,0.030177428,3.8001993e-07,2.2352217e-09
1.4587493,0.01515924,0.0069499554,2.8377964e-07,0.026399819,0.0013584636,2.2118056e-07,0.028337562,0.00037396573,1.7479798e-07,0.029616971,6.7447548e-05,9.4592154e-08,0.029930758,2.4983068e-05,5.4354078e-08,0.030011522,1.6311381e-05,4.1036725e-08,0.030167642,2.4273406e-06,9.8706377e-09,0.03019706,3.7340435e-07,2.5640018e-09
1.6056703,0.014510295,0.0070691146,3.1424673e-07,0.026187971,0.0015773149,2.467292e-07,0.028280113,0.00039817654,1.9508516e-07,0.029617506,7.0109968e-05,1.051928e-07,0.029942318,2.5727316e-05,6.0141383e-08,0.030025634,1.6748352e-05,4.5313844e-08,0.030186358,2.4583923e-06,1.0895486e-08,0.030216591,3.663463e-07,2.8971809e-09
1.7529311,0.013929676,0.0071381637,3.4493228e-07,0.025948124,0.0018157356,2.7279594e-07,0.02822153,0.00042593389,2.1582779e-07,0.029617754,7.2848222e-05,1.1592657e-07,0.029953756,2.6476573e-05,6.5911524e-08,0.030039642,1.7185458e-05,4.9543948e-08,0.030204973,2.4880377e-06,1.1878886e-08,0.030236018,3.5867134e-07,3.2128609e-09
1.9005056,0.013415836,0.0071644908,3.757256e-07,0.025678565,0.0020627745,2.993119e-07,0.028161296,0.0004601407,2.3702825e-07,0.029617684,7.5676658e-05,1.2682689e-07,0.029965061,2.7233195e-05,7.1703895e-08,0.030053535,1.7624218e-05,5.3765399e-08,0.030223484,2.5166858e-06,1.2845565e-08,0.030255337,3.5053942e-07,3.5232293e-09
2.0483706,0.012954494,0.0071558544,4.0667372e-07,0.02537954,0.0023096313,3.2631297e-07,0.028098284,0.0005046237,2.5873895e-07,0.029617265,7.8610747e-05,1.3791633e-07,0.029976221,2.7997974e-05,7.7521363e-08,0.030067307,1.8064848e-05,5.7975235e-08,0.030241887,2.5442114e-06,1.3787495e-08,0.030274547,3.418716e-07,3.824446e-09
2.1965078,0.012535206,0.0071224677,4.3783983e-07,0.025052804,0.0025491272,3.5375764e-07,0.028030786,0.00056244219,2.8096323e-07,0.029616452,8.1671959e-05,1.4920116e-07,0.029987222,2.8773249e-05,8.3368216e-08,0.030080947,1.8508713e-05,6.2176421e-08,0.030260181,2.5708759e-06,1.4703946e-08,0.030293646,3.3275603e-07,4.1143529e-09
2.3448973,0.012150979,0.0070667469,4.6924269e-07,0.024702402,0.0027757733,3.8152298e-07,0.027956578,0.00063729902,3.0363822e-07,0.029615221,8.4877847e-05,1.6063288e-07,0.029998058,2.9559864e-05,8.9204928e-08,0.030094452,1.8956094e-05,6.6335679e-08,0.030278363,2.5966413e-06,1.5589671e-08,0.030312633,3.231722e-07,4.3994364e-09
2.4933711,0.011794487,0.0069891285,5.0052135e-07,0.024332772,0.0029862626,4.0944516e-07,0.027872934,0.00073161377,3.266692e-07,0.029613515,8.8241376e-05,1.7218054e-07,0.030008703,3.0359292e-05,9.5018318e-08,0.030107798,1.9407741e-05,7.0443668e-08,0.030296413,2.6216125e-06,1.6439267e-08,0.030331487,3.1314014e-07,4.6706974e-09
2.6418801,0.011462073,0.006893468,5.3175011e-07,0.023948236,0.0031780052,4.3767168e-07,0.027777069,0.00084656155,3.5015961e-07,0.029611281,9.1761747e-05,1.8389408e-07,0.030019137,3.1173104e-05,1.0082463e-07,0.030120971,1.9864403e-05,7.4507368e-08,0.030314325,2.6457638e-06,1.7249498e-08,0.030350204,3.026128e-07,4.9262082e-09
2.7904247,0.011151356,0.0067827416,5.6274255e-07,0.02355313,0.0033490692,4.6606415e-07,0.027666517,0.00097919712,3.739876e-07,0.029608491,9.5415989e-05,1.9572692e-07,0.030029357,3.2003004e-05,1.0660044e-07,0.030133969,2.0327104e-05,7.8511014e-08,0.0303321,2.6693138e-06,1.8023139e-08,0.030368786,2.916836e-07,5.1717179e-09
2.9390048,0.010860322,0.0066606591,5.9374159e-07,0.023152483,0.0034985868,4.9476742e-07,0.027539078,0.0011237248,3.9827275e-07,0.029605099,9.9154036e-05,2.0776015e-07,0.030039346,3.2850778e-05,1.1238244e-07,0.030146783,2.079678e-05,8.2477392e-08,0.030349738,2.6922944e-06,1.8759871e-08,0.030387233,2.8033509e-07,5.4049419e-09
3.0876181,0.010587219,0.0065300214,6.2444141e-07,0.02274882,0.0036258235,5.2369458e-07,0.027393145,0.0012733724,4.2285366e-07,0.029601118,0.00010288995,2.1994235e-07,0.030049106,3.3717704e-05,1.1815082e-07,0.030159415,2.1274399e-05,8.6394808e-08,0.030367242,2.7151054e-06,1.9459914e-08,0.030405548,2.6875565e-07,5.6262413e-09
3.2362571,0.010328302,0.0063930974,6.5475544e-07,0.022344821,0.003730879,5.5276019e-07,0.027227997,0.001423913,4.4760402e-07,0.029596551,0.00010651565,2.3221674e-07,0.030058624,3.46054e-05,1.2386796e-07,0.030171857,2.1760563e-05,9.0232906e-08,0.030384609,2.7375156e-06,2.0115434e-08,0.030423731,2.5680311e-07,5.8350338e-09
3.3849191,0.010080695,0.006251749,6.847816e-07,0.021944012,0.0038145244,5.8199496e-07,0.027043708,0.00157199,4.7255987e-07,0.029591432,0.00010990815,2.4462785e-07,0.030067891,3.5515416e-05,1.2955481e-07,0.030184103,2.2255642e-05,9.4005203e-08,0.030401842,2.7593204e-06,2.0727851e-08,0.030441782,2.4435526e-07,6.0310544e-09
3.5336021,0.009841255,0.0061082998,7.1457794e-07,0.021541617,0.0038759571,6.1163725e-07,0.026840594,0.0017152435,4.9777834e-07,0.029585789,0.00011296446,2.5726237e-07,0.030076884,3.6452541e-05,1.3527475e-07,0.030196139,2.2761838e-05,9.7763325e-08,0.030418938,2.7809563e-06,2.1311919e-08,0.030459705,2.3155862e-07,6.2171832e-09
3.6823035,0.00960911,0.0059641542,7.4396235e-07,0.021144192,0.0039167566,6.4134533e-07,0.026619992,0.001851917,5.2314788e-07,0.029579701,0.00011562286,2.7009281e-07,0.030085592,3.742152e-05,1.4101388e-07,0.03020796,2.3280719e-05,1.0149701e-07,0.030435899,2.802788e-06,2.1868681e-08,0.030477498,2.1856004e-07,6.3977912e-09
3.8310205,0.0093823706,0.0058201894,7.731396e-07,0.020757249,0.0039390723,6.711471e-07,0.026383737,0.0019804572,5.4869266e-07,0.029573275,0.0001179014,2.8309589e-07,0.03009401,3.8424514e-05,1.4673208e-07,0.030219563,2.381081e-05,1.0516566e-07,0.030452725,2.8240147e-06,2.2373874e-08,0.030495164,2.050008e-07,6.562256e-09
3.9797505,0.0091594275,0.0056771153,8.0198033e-07,0.020384085,0.0039451515,7.0100576e-07,0.026133881,0.0020996142,5.7437465e-07,0.029566614,0.00011994539,2.9626219e-07,0.03010213,3.9469411e-05,1.5242604e-07,0.030230946,2.4354421e-05,1.0876821e-07,0.030469418,2.8453931e-06,2.2833142e-08,0.030512704,1.9119664e-07,6.7139246e-09
4.1284904,0.0089391812,0.0055360034,8.3017892e-07,0.020034176,0.0039371041,7.3085159e-07,0.025872947,0.0022087752,6.0002599e-07,0.029559775,0.00012207066,3.0954544e-07,0.03010994,4.0562923e-05,1.5807775e-07,0.030242103,2.4912064e-05,1.1229377e-07,0.030485977,2.8668345e-06,2.3245644e-08,0.030530119,1.7709617e-07,6.8532314e-09
4.2772366,0.0087207396,0.0053970747,8.5820086e-07,0.01970484,0.0039178877,7.6080363e-07,0.025603374,0.002307171,6.2590262e-07,0.029552767,0.00012478505,3.2306448e-07,0.030117425,4.1710614e-05,1.6375035e-07,0.030253029,2.5483754e-05,1.1578803e-07,0.030502403,2.8880146e-06,2.3621359e-08,0.03054741,1.6252726e-07,6.9819797e-09
4.4259858,0.0085032418,0.0052607716,8.8532099e-07,0.019391558,0.0038895075,7.9045328e-07,0.025327423,0.0023940147,6.5172632e-07,0.029545531,0.00012877742,3.3672861e-07,0.030124573,4.2919512e-05,1.6941092e-07,0.030263718,2.6072379e-05,1.1923042e-07,0.030518696,2.9096769e-06,2.3955606e-08,0.030564578,1.4780925e-07,7.0986175e-09
