time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz, p5_ux,p5_uy,p5_uz, p6_ux,p6_uy,p6_uz, p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.029056049,0.0001747292,1.6686152e-07,0.029473181,7.8785741e-05,1.4756561e-07,0.029723785,3.3929876e-05,1.2482495e-07,0.029879422,1.2578117e-05,1.0402806e-07,0.029944457,5.5481356e-06,8.7680196e-08,0.029962659,3.8179889e-06,8.18895e-08,0.029999655,6.6681985e-07,5.8403267e-08,0.030006615,1.4598384e-07,4.0158403e-08
0.132,0.028975685,0.00019685803,2.4847537e-08,0.029436656,8.7006339e-05,1.9204657e-08,0.029710826,3.6907749e-05,1.279789e-08,0.029879879,1.3508028e-05,7.2029037e-09,0.029950207,5.9055203e-06,3.6144535e-09,0.029969839,4.0509731e-06,2.6928975e-09,0.030009648,6.9770741e-07,8.7107334e-10,0.030017054,1.492736e-07,-8.3287084e-10
0.2184,0.028899526,0.00021979187,4.1385777e-08,0.029403589,9.5389577e-05,3.2158172e-08,0.029700632,3.9923074e-05,2.209931e-08,0.029882561,1.445623e-05,1.2709059e-08,0.029957946,6.2752203e-06,6.9484895e-09,0.029978958,4.2902248e-06,5.2662786e-09,0.030021517,7.2365188e-07,1.6863633e-09,0.030029429,1.4901768e-07,-4.1990213e-10
0.32208,0.028818042,0.00024576348,6.1318039e-08,0.02936943,0.0001046607,4.7791098e-08,0.02969131,4.3183585e-05,3.3286564e-08,0.029887061,1.5458729e-05,1.9254517e-08,0.029967826,6.6585606e-06,1.0787e-08,0.0299903,4.535582e-06,8.1529742e-09,0.030035767,7.4727993e-07,2.394909e-09,0.030044213,1.4688788e-07,-1.6405487e-10
0.446496,0.028725672,0.0002767685,8.5326694e-08,0.029331777,0.00011542478,6.6597179e-08,0.029681985,4.6878324e-05,4.6693199e-08,0.029893276,1.6569844e-05,2.704551e-08,0.029980031,7.0760838e-06,1.5315857e-08,0.030004125,4.800247e-06,1.1528497e-08,0.030052802,7.7008169e-07,3.1964709e-09,0.030061839,1.4287273e-07,1.3903368e-10
0.57773253,0.028630231,0.00031031621,1.1152945e-07,0.029293636,0.00012675747,8.7273197e-08,0.02967314,5.0674696e-05,6.1545855e-08,0.029900272,1.768802e-05,3.5746693e-08,0.029993067,7.4900289e-06,2.041975e-08,0.030018788,5.0606134e-06,1.5343703e-08,0.030070678,7.9048189e-07,4.1219134e-09,0.030080304,1.3769235e-07,4.8528284e-10
0.71032439,0.028534979,0.00034511374,1.3819728e-07,0.029256174,0.00013829492,1.0826606e-07,0.029664933,5.4446449e-05,7.6537783e-08,0.029907661,1.8776319e-05,4.4431739e-08,0.030006342,7.8870526e-06,2.5427986e-08,0.030033642,5.3084517e-06,1.9043711e-08,0.030088637,8.0798718e-07,4.9389652e-09,0.030098831,1.3152794e-07,7.6342876e-10
0.84400557,0.028437572,0.00038134173,1.660066e-07,0.029218143,0.00015028231,1.3030993e-07,0.029656741,5.8273891e-05,9.2392615e-08,0.029915155,1.9860429e-05,5.3700828e-08,0.030019698,8.2778627e-06,3.08403e-08,0.030048563,5.5510651e-06,2.3079349e-08,0.030106626,8.2384259e-07,5.9052537e-09,0.030117379,1.2477616e-07,1.1243452e-09
0.97854289,0.028336542,0.00041892413,1.9461324e-07,0.029178718,0.00016291421,1.5305871e-07,0.029648165,6.2210818e-05,1.0877202e-07,0.029922566,2.0956984e-05,6.3259044e-08,0.030033026,8.6693958e-06,3.638681e-08,0.030063463,5.793181e-06,2.7205191e-08,0.0301246,8.3887725e-07,6.8610833e-09,0.03013591,1.1760427e-07,1.4697361e-09
