time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
6e-07,0.14876637,0.00014678565,-1.1405792e-08,0.14944336,5.42121e-05,-1.0773474e-08,0.14975401,2.1033055e-05,-1.0030969e-08,0.14987312,1.020698e-05,-9.4309013e-09
1.32e-06,0.14871848,0.00015282605,4.7490491e-09,0.14942235,5.6310614e-05,4.4795859e-09,0.14974483,2.1826809e-05,4.1638877e-09,0.14986841,1.0588784e-05,3.9107208e-09
2.184e-06,0.14868811,0.00015671124,-8.4948485e-11,0.1494091,5.7639426e-05,-2.023137e-12,0.14973906,2.2325853e-05,7.1197943e-11,0.14986545,1.0828087e-05,1.1023039e-10
3.2208e-06,0.14866637,0.000159532,-4.9551341e-10,0.14939967,5.8591666e-05,-3.7378699e-10,0.14973496,2.2681835e-05,-2.5508768e-10,0.14986335,1.099857e-05,-1.8574125e-10
4.46496e-06,0.14864979,0.00016170963,-4.8939703e-10,0.1493925,5.931811e-05,-3.8814458e-10,0.14973185,2.2952218e-05,-2.9037176e-10,0.14986175,1.1127872e-05,-2.3165107e-10
5.957952e-06,0.14863663,0.00016346001,-4.1500296e-10,0.14938683,5.9895644e-05,-3.3742059e-10,0.14972939,2.316634e-05,-2.6116384e-10,0.14986049,1.1230148e-05,-2.1425596e-10
7.7495424e-06,0.14862584,0.00016491057,-3.430083e-10,0.14938219,6.0369282e-05,-2.8326747e-10,0.14972739,2.3341296e-05,-2.2332323e-10,0.14985947,1.1313623e-05,-1.857422e-10
9.8994509e-06,0.14861679,0.00016614167,-2.8531754e-10,0.14937832,6.0767268e-05,-2.3839064e-10,0.14972571,2.3487784e-05,-1.9023921e-10,0.14985861,1.1383439e-05,-1.5959345e-10
1.2479341e-05,0.14860905,0.00016720616,-2.3621219e-10,0.14937501,6.1108102e-05,-2.0511931e-10,0.14972429,2.361279e-05,-1.6348964e-10,0.14985788,1.1442946e-05,-1.3970408e-10
1.5575209e-05,0.14860232,0.00016814106,-2.0927706e-10,0.14937215,6.1404726e-05,-1.8274792e-10,0.14972305,2.3721224e-05,-1.4662447e-10,0.14985725,1.1494517e-05,-1.2540868e-10
1.9290251e-05,0.1485964,0.00016897278,-1.892684e-10,0.14936964,6.166627e-05,-1.6614343e-10,0.14972197,2.3816509e-05,-1.341032e-10,0.1498567,1.1539785e-05,-1.1466188e-10
2.3748301e-05,0.14859113,0.00016972065,-1.7732692e-10,0.1493674,6.1899435e-05,-1.5637765e-10,0.14972101,2.3901168e-05,-1.2701901e-10,0.14985621,1.1579961e-05,-1.0852703e-10
2.9097962e-05,0.1485864,0.00017039935,-1.7325875e-10,0.14936541,6.2109284e-05,-1.532443e-10,0.14972015,2.3977106e-05,-1.2526268e-10,0.14985577,1.1615957e-05,-1.0692388e-10
3.5517554e-05,0.14858212,0.00017102021,-1.7659221e-10,0.1493636,6.2299711e-05,-1.5633134e-10,0.14971938,2.4045784e-05,-1.2856112e-10,0.14985538,1.1648475e-05,-1.0968731e-10
4.3221065e-05,0.14857821,0.00017159214,-1.8484068e-10,0.14936196,6.2473776e-05,-1.636799e-10,0.14971867,2.4108351e-05,-1.3538959e-10,0.14985502,1.1678064e-05,-1.1561656e-10
