time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0006,0.014730395,3.5435904e-05,1.3325453e-08,0.014898207,1.0221956e-05,1.588814e-08,0.014950178,4.4360171e-06,1.7215611e-08,0.014974544,2.1334494e-06,1.7452957e-08
0.00132,0.0147235,3.6469258e-05,1.1259937e-10,0.014895749,1.0451424e-05,3.1334919e-11,0.014948954,4.5044321e-06,5.0201454e-13,0.014973878,2.1447209e-06,-1.5655017e-11
0.002184,0.014719037,3.7168681e-05,4.8916603e-11,0.014894247,1.0617319e-05,-1.1143201e-11,0.01494827,4.5720551e-06,-3.228211e-11,0.014973563,2.1760641e-06,-4.0538659e-11
0.0032208,0.014715763,3.7697163e-05,1.1579728e-10,0.014893172,1.0739751e-05,3.5923384e-11,0.014947797,4.6215451e-06,2.8641844e-12,0.014973361,2.1988985e-06,-1.2440743e-11
0.00446496,0.01471321,3.812262e-05,2.0004546e-10,0.014892359,1.0836254e-05,8.7474053e-11,0.014947457,4.6603032e-06,3.6822805e-11,0.014973234,2.2167062e-06,1.02542e-11
0.005957952,0.014711138,3.8480035e-05,2.897225e-10,0.014891726,1.0915778e-05,1.3890265e-10,0.014947213,4.6920299e-06,6.8895323e-11,0.014973165,2.2312115e-06,3.0550238e-11
0.0077495424,0.014709407,3.8790228e-05,3.9102229e-10,0.014891226,1.098359e-05,1.9487606e-10,0.014947044,4.7188954e-06,1.0245494e-10,0.014973144,2.2434227e-06,5.0787176e-11
0.0098994508,0.014707928,3.9066825e-05,4.9474396e-10,0.014890829,1.1043081e-05,2.4601142e-10,0.014946938,4.7422794e-06,1.2882964e-10,0.014973168,2.2539711e-06,6.3523111e-11
0.012479341,0.014706641,3.9319593e-05,6.3738029e-10,0.014890519,1.1096678e-05,3.2343624e-10,0.014946889,4.7631814e-06,1.7428191e-10,0.014973237,2.2633249e-06,9.0132879e-11
0.015575209,0.014705502,3.9556057e-05,8.0583183e-10,0.014890284,1.1146185e-05,4.139816e-10,0.014946897,4.782315e-06,2.2678599e-10,0.014973353,2.2718005e-06,1.2034503e-10
0.019290251,0.014704478,3.978235e-05,1.0058865e-09,0.014890118,1.1193051e-05,5.2070404e-10,0.01494696,4.8002528e-06,2.8814502e-10,0.01497352,2.2796524e-06,1.5523789e-10
0.023748301,0.014703543,4.0003665e-05,1.2555443e-09,0.014890017,1.1238463e-05,6.5699308e-10,0.014947084,4.817446e-06,3.6875794e-10,0.014973744,2.2870715e-06,2.0252742e-10
0.029097961,0.01470268,4.0224816e-05,1.5410274e-09,0.014889983,1.1283527e-05,8.0827984e-10,0.014947273,4.8343238e-06,4.5477701e-10,0.014974033,2.2942443e-06,2.5058959e-10
