time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
6e-07,147.29834,0.35521801,1.6234003e-05,148.97889,0.10217039,7.3619866e-06,149.49925,0.044062853,-1.7347772e-06,149.74322,0.020981402,-6.7026876e-06
1.32e-06,147.2261,0.36607823,-2.7366367e-06,148.95377,0.10483983,-2.3946377e-06,149.48726,0.045177742,-1.9649022e-06,149.73715,0.021509975,-1.6443107e-06
2.184e-06,147.17628,0.373898,-8.1741887e-07,148.93655,0.10668621,-5.249035e-07,149.47903,0.045928727,-2.8969181e-07,149.73298,0.021858555,-1.0463933e-07
3.2208e-06,147.13754,0.38014279,-1.3185896e-06,148.92324,0.10812706,-9.2181709e-07,149.47269,0.046510449,-5.7568684e-07,149.72977,0.022127581,-3.1487852e-07
4.46496e-06,147.10498,0.38552736,-1.8950213e-06,148.91211,0.10934557,-1.3459774e-06,149.46739,0.046999399,-8.5919179e-07,149.72709,0.022353037,-4.9903733e-07
5.957952e-06,147.07593,0.39044255,-2.5600741e-06,148.90221,0.11044064,-1.8330642e-06,149.46268,0.047436572,-1.1851023e-06,149.72471,0.022554157,-7.0710344e-07
7.7495424e-06,147.04868,0.39514716,-3.1467111e-06,148.89296,0.11147511,-2.229005e-06,149.45829,0.047847291,-1.422444e-06,149.72248,0.022742507,-8.3572511e-07
9.8994509e-06,147.02199,0.3998396,-3.8676163e-06,148.88391,0.11249726,-2.746128e-06,149.45399,0.048251428,-1.756163e-06,149.72031,0.022927477,-1.0382244e-06
1.2479341e-05,146.99485,0.40467984,-4.660866e-06,148.87473,0.11354358,-3.2966086e-06,149.44964,0.04866329,-2.1032173e-06,149.71811,0.023115438,-1.2423411e-06
1.5575209e-05,146.9664,0.40981501,-5.6066352e-06,148.86512,0.11464768,-3.9503945e-06,149.44508,0.049096538,-2.5110678e-06,149.71581,0.023312818,-1.4772891e-06
1.9290251e-05,146.93585,0.41538512,-6.6622315e-06,148.85481,0.11584019,-4.6805149e-06,149.4402,0.049563305,-2.9713428e-06,149.71335,0.02352521,-1.7512538e-06
2.3748301e-05,146.90221,0.42155399,-7.7687167e-06,148.84347,0.11715596,-5.449054e-06,149.43484,0.050076555,-3.4563336e-06,149.71064,0.023757949,-2.0369218e-06
