time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0006,1.4725615,0.0036164455,2.101279e-06,1.489632,0.0010342274,1.7328209e-06,1.4949123,0.0004441138,1.4939018e-06,1.4973884,0.00021021801,1.3640452e-06
0.00132,1.4714557,0.0038008736,-7.1327265e-08,1.4892632,0.0010806802,-5.6828489e-08,1.4947465,0.00046463362,-4.5874103e-08,1.4973122,0.00022095988,-3.7569135e-08
0.002184,1.4705113,0.0039599439,-4.6789142e-08,1.4889412,0.0011172017,-3.0686074e-08,1.4945963,0.00047925762,-1.8134624e-08,1.4972392,0.00022768638,-9.4950481e-09
0.0032208,1.4696097,0.004116621,-6.6923461e-08,1.4886369,0.0011523728,-4.5299804e-08,1.4944555,0.00049321223,-2.7880498e-08,1.4971718,0.0002340712,-1.5910998e-08
0.00446496,1.4686811,0.0042814608,-8.8610788e-08,1.4883257,0.0011888046,-6.1177484e-08,1.4943125,0.00050757229,-3.909463e-08,1.497104,0.00024061478,-2.4081641e-08
0.005957952,1.4677008,0.0044594996,-9.3839369e-08,1.4880002,0.0012274361,-6.0968398e-08,1.494164,0.00052272284,-3.5312343e-08,1.4970344,0.00024750876,-1.8976275e-08
0.0077495424,1.4666314,0.0046579796,-1.1653886e-07,1.487649,0.0012695719,-7.5517267e-08,1.494005,0.00053913081,-4.2908711e-08,1.4969607,0.00025494529,-2.2380057e-08
0.0098994508,1.4654351,0.0048846706,-1.5159596e-07,1.4872609,0.0013165726,-1.0003277e-07,1.4938304,0.00055730344,-5.7604179e-08,1.4968806,0.00026314961,-3.0537391e-08
0.012479341,1.4640646,0.0051502786,-1.8884384e-07,1.4868223,0.001370155,-1.2534553e-07,1.4936347,0.00057786469,-7.1501055e-08,1.4967916,0.00027239915,-3.6943514e-08
0.015212643,1.4626454,0.005431577,-2.3020173e-07,1.4863743,0.0014253022,-1.5460514e-07,1.4934361,0.00059885223,-8.8993705e-08,1.496702,0.00028179814,-4.6683661e-08
0.017956342,1.4612509,0.0057152152,-2.5889484e-07,1.4859397,0.0014792688,-1.7442198e-07,1.4932446,0.00061924517,-9.8854888e-08,1.4966162,0.00029090659,-5.0270644e-08
0.020707244,1.4598608,0.0060061908,-2.9590632e-07,1.4855124,0.001532719,-2.0184672e-07,1.4930575,0.00063926159,-1.1473514e-07,1.4965329,0.00029980463,-5.8285452e-08
0.023464061,1.4584641,0.0063080694,-3.3794381e-07,1.4850891,0.0015861054,-2.3465038e-07,1.4928731,0.00065907949,-1.3471617e-07,1.4964512,0.00030857647,-6.8978981e-08
0.026225951,1.457061,0.0066232621,-3.8664812e-07,1.4846705,0.0016393992,-2.7483452e-07,1.4926919,0.00067866674,-1.6044134e-07,1.4963713,0.00031720434,-8.342185e-08
0.02899247,1.4556427,0.0069545472,-4.3603769e-07,1.484254,0.0016929232,-3.1734091e-07,1.4925126,0.00069815474,-1.8802505e-07,1.4962926,0.00032575305,-9.891501e-08
0.031763306,1.4542021,0.0073029668,-4.8492999e-07,1.4838377,0.001746923,-3.6108805e-07,1.4923342,0.00071763085,-2.1666396e-07,1.4962146,0.00033426179,-1.1488508e-07
0.034537677,1.4527289,0.0076674603,-5.2848658e-07,1.4834188,0.001801746,-4.0315262e-07,1.4921555,0.00073720696,-2.4488595e-07,1.4961367,0.00034277634,-1.3077074e-07
0.037315017,1.4512155,0.0080428258,-5.6759244e-07,1.4829947,0.0018577313,-4.431212e-07,1.4919754,0.00075699977,-2.7232184e-07,1.4960582,0.00035134932,-1.4660084e-07
0.040095105,1.449665,0.0084181541,-6.0125821e-07,1.4825652,0.0019149599,-4.8059997e-07,1.4917937,0.00077703041,-2.9870558e-07,1.4959792,0.00035998923,-1.6202765e-07
0.042877877,1.4480826,0.0087805726,-6.2517489e-07,1.4821295,0.0019735401,-5.1287188e-07,1.49161,0.00079733377,-3.2209103e-07,1.4958994,0.00036871169,-1.7551037e-07
0.045663356,1.4464791,0.0091184487,-6.4538998e-07,1.4816876,0.0020334987,-5.4466393e-07,1.4914243,0.00081791322,-3.4613361e-07,1.4958189,0.00037751648,-1.898822e-07
0.048451632,1.4448664,0.0094267533,-6.653464e-07,1.481239,0.0020949479,-5.7733544e-07,1.4912365,0.0008387996,-3.7112918e-07,1.4957374,0.00038641635,-2.0489138e-07
0.05124284,1.4432583,0.0097110442,-6.8045043e-07,1.4807828,0.0021580647,-6.0796266e-07,1.4910461,0.00086003298,-3.952908e-07,1.4956549,0.00039542605,-2.1945495e-07
0.05403712,1.4416685,0.0099908742,-6.9287489e-07,1.4803185,0.0022230415,-6.3813449e-07,1.490853,0.00088163987,-4.1975627e-07,1.4955713,0.00040455432,-2.3440338e-07
0.056834579,1.440108,0.010306033,-7.0123922e-07,1.4798459,0.0022901399,-6.6719235e-07,1.4906571,0.00090363848,-4.4418157e-07,1.4954866,0.00041380582,-2.4949988e-07
0.059635328,1.4385804,0.01071691,-7.0440506e-07,1.4793643,0.0023597849,-6.9429289e-07,1.4904581,0.00092606053,-4.6789657e-07,1.4954006,0.00042319156,-2.6419613e-07
0.062439459,1.4370792,0.011297307,-7.0414627e-07,1.4788732,0.0024325361,-7.2101759e-07,1.4902559,0.00094892993,-4.9242236e-07,1.4953132,0.00043271871,-2.799097e-07
0.06524683,1.4355842,0.012140048,-6.9675753e-07,1.4783721,0.0025090562,-7.4453159e-07,1.4900505,0.0009722652,-5.1560236e-07,1.4952245,0.0004423912,-2.9494314e-07
0.068057355,1.434065,0.013341773,-6.8173497e-07,1.4778611,0.0025899572,-7.650382e-07,1.4898419,0.00099605045,-5.3785137e-07,1.4951346,0.00045219712,-3.0975757e-07
0.070871159,1.4324729,0.015005462,-6.6364874e-07,1.4773393,0.0026758526,-7.8478054e-07,1.4896301,0.0010203124,-5.6039331e-07,1.4950434,0.00046214871,-3.2501296e-07
