time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz, p5_ux,p5_uy,p5_uz, p6_ux,p6_uy,p6_uz, p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.028697238,0.00025403984,8.4966624e-08,0.029289884,0.00010984089,8.3763731e-08,0.029572116,5.5846789e-05,8.0339783e-08,0.029840583,1.6482297e-05,6.8340865e-08,0.029925633,7.1393871e-06,5.7201964e-08,0.029949261,4.8729352e-06,5.265637e-08,0.029996968,8.2588705e-07,4.0008996e-08,0.030005894,1.6772741e-07,3.6058056e-08
0.132,0.028606619,0.00028193479,2.2923572e-08,0.029249836,0.0001195149,1.8060404e-08,0.029553523,6.0148524e-05,1.3287667e-08,0.029840604,1.758758e-05,6.5145677e-09,0.029931217,7.6148392e-06,3.3195878e-09,0.029956337,5.2096544e-06,2.2680911e-09,0.030007038,8.9866889e-07,-4.2214588e-10,0.030016449,1.948101e-07,-8.0468341e-10
0.2184,0.028524504,0.00031010937,3.9886194e-08,0.029215248,0.00012896573,3.1303322e-08,0.029538904,6.4223903e-05,2.3677254e-08,0.029843194,1.8563388e-05,1.2359027e-08,0.029938913,7.991698e-06,6.9830491e-09,0.029965424,5.4533892e-06,5.210922e-09,0.030018899,9.251753e-07,7.3435517e-10,0.030028822,1.942962e-07,-1.6256191e-10
0.32208,0.028441447,0.00034114621,5.9392442e-08,0.029181806,0.00013903333,4.6435104e-08,0.029526165,6.8462864e-05,3.5385383e-08,0.029848081,1.9544223e-05,1.8597054e-08,0.029948978,8.3614945e-06,1.0574608e-08,0.029976896,5.6892188e-06,7.9286298e-09,0.03003317,9.4689138e-07,1.3914411e-09,0.030043611,1.913485e-07,2.7174367e-11
0.446496,0.028351199,0.00037727021,8.3324321e-08,0.029146694,0.00015040447,6.5134635e-08,0.029513937,7.3141404e-05,4.9914279e-08,0.029855067,2.0593412e-05,2.6407598e-08,0.029961549,8.7490121e-06,1.5103948e-08,0.029990978,5.9333979e-06,1.1369666e-08,0.030050253,9.6590698e-07,2.261816e-09,0.030061248,1.8613633e-07,3.0655576e-10
0.58391916,0.028255625,0.00041714516,1.1025938e-07,0.029110347,0.00016277182,8.6270297e-08,0.029502013,7.8117403e-05,6.6356511e-08,0.029863356,2.1679607e-05,3.5228241e-08,0.029975647,9.1439781e-06,2.0172811e-08,0.030006643,6.1800067e-06,1.5194326e-08,0.030069019,9.8265745e-07,3.1985733e-09,0.030080585,1.7939171e-07,6.2952027e-10
0.72296521,0.028160702,0.00045758011,1.3839449e-07,0.029074977,0.00017537762,1.0841689e-07,0.029491011,8.3054387e-05,8.3595686e-08,0.029872147,2.2724131e-05,4.4473751e-08,0.029990051,9.5171768e-06,2.5496739e-08,0.030022553,6.4107737e-06,1.9221987e-08,0.0300879,9.958061e-07,4.1998511e-09,0.030100013,1.7155184e-07,9.5078842e-10
0.86322392,0.028067578,0.00049802668,1.6711505e-07,0.029040911,0.00018822679,1.3098007e-07,0.029481095,8.7928138e-05,1.0106722e-07,0.029881453,2.3719159e-05,5.3684101e-08,0.030004732,9.8652551e-06,3.0707706e-08,0.03003867,6.6233204e-06,2.3128398e-08,0.030106839,1.0048226e-06,5.1354612e-09,0.030119469,1.6246572e-07,1.2590105e-09
1.0043867,0.027974682,0.00053940601,1.9669597e-07,0.029006963,0.0002015665,1.5425369e-07,0.029471585,9.2845567e-05,1.1908134e-07,0.029891002,2.4690635e-05,6.3174323e-08,0.030019538,1.0199349e-05,3.6096612e-08,0.030054873,6.8254384e-06,2.7187271e-08,0.030125779,1.0113464e-06,6.1594478e-09,0.030138908,1.5262347e-07,1.6101622e-09
1.1462526,0.027880947,0.00058405019,2.2704943e-07,0.028972259,0.00021550332,1.7816702e-07,0.029461955,9.7892327e-05,1.3757112e-07,0.029900586,2.5657333e-05,7.2849763e-08,0.030034352,1.0526983e-05,4.1543384e-08,0.030071071,7.0221404e-06,3.1269748e-08,0.030144678,1.0161532e-06,7.1552149e-09,0.030158297,1.421743e-07,1.9310462e-09
1.2886916,0.027785352,0.0006357529,2.5806869e-07,0.028936319,0.00022996897,2.0264054e-07,0.02945189,0.00010313904,1.5647765e-07,0.02991008,2.6633708e-05,8.2684914e-08,0.030049106,1.0854788e-05,4.7045769e-08,0.030087211,7.2182247e-06,3.5382854e-08,0.030163512,1.0204871e-06,8.1540209e-09,0.030177618,1.3157041e-07,2.2545268e-09
1.4316103,0.027685674,0.00069996362,2.9014194e-07,0.028898645,0.0002447984,2.279993e-07,0.029441032,0.00010866043,1.7607033e-07,0.029919355,2.7628855e-05,9.2820853e-08,0.030063733,1.1185202e-05,5.2666275e-08,0.03010324,7.4148742e-06,3.9562734e-08,0.03018226,1.0239676e-06,9.1415853e-09,0.030196857,1.2050027e-07,2.5659407e-09
1.5749385,0.027580057,0.00078161117,3.2324958e-07,0.028859438,0.00025969378,2.5424728e-07,0.029429347,0.00011449106,1.9637142e-07,0.02992839,2.8646496e-05,1.0330208e-07,0.030078214,1.15206e-05,5.8454668e-08,0.030119144,7.6140496e-06,4.3859584e-08,0.030200914,1.0273281e-06,1.0154145e-08,0.030216004,1.0927646e-07,2.8868314e-09
