time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz, p5_ux,p5_uy,p5_uz, p6_ux,p6_uy,p6_uz, p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.028797652,0.00023893984,9.3062768e-08,0.029460652,7.9429403e-05,7.1094483e-08,0.029670244,4.1578262e-05,5.7599713e-08,0.029876039,1.2690777e-05,3.764899e-08,0.029942895,5.5592278e-06,2.9606694e-08,0.029961602,3.8038541e-06,2.7235952e-08,0.029998482,7.1680402e-07,2.3672899e-08,0.030006621,1.2048049e-07,2.4973184e-08
0.132,0.028697786,0.00026965892,2.5349576e-08,0.029426871,8.7312677e-05,1.7884137e-08,0.029654724,4.5262129e-05,1.3620086e-08,0.02987703,1.3693771e-05,7.0243928e-09,0.029948894,5.9952403e-06,3.8998088e-09,0.029968969,4.109776e-06,2.868626e-09,0.030008443,7.9089895e-07,5.2150639e-10,0.030017066,1.481182e-07,-2.6227503e-10
0.2184,0.028603723,0.00030117959,4.2858773e-08,0.029396939,9.5039719e-05,3.0491197e-08,0.029642328,4.8769149e-05,2.3403454e-08,0.029880312,1.4573317e-05,1.2434035e-08,0.029956924,6.3377292e-06,7.1979054e-09,0.029978297,4.3310497e-06,5.4665685e-09,0.030020286,8.1833451e-07,1.5152743e-09,0.030029454,1.471782e-07,2.7114894e-10
0.32208,0.028504265,0.00033676202,6.3654492e-08,0.029366742,0.00010347376,4.5432496e-08,0.029630936,5.252978e-05,3.4927095e-08,0.02988556,1.5490752e-05,1.8578713e-08,0.029967165,6.6876425e-06,1.0712664e-08,0.029989898,4.5544689e-06,8.10694e-09,0.030034516,8.4282657e-07,2.1830025e-09,0.030044253,1.4433529e-07,4.352077e-10
0.446496,0.028392366,0.00037902166,8.9000907e-08,0.029333972,0.00011316638,6.3716022e-08,0.029619445,5.6772907e-05,4.9052817e-08,0.02989267,1.6498662e-05,2.6136157e-08,0.029979797,7.0649046e-06,1.5059205e-08,0.030004029,4.7927498e-06,1.1386351e-08,0.030051535,8.6584783e-07,3.0577013e-09,0.030061895,1.3947343e-07,7.0922755e-10
0.57937956,0.028274785,0.00042501195,1.1684118e-07,0.029300475,0.00012347128,8.3960499e-08,0.029608225,6.1199248e-05,6.4763625e-08,0.029900663,1.7524366e-05,3.4596805e-08,0.029993428,7.4432551e-06,1.994215e-08,0.030019183,5.0298989e-06,1.5078445e-08,0.030069615,8.8678148e-07,4.0571732e-09,0.030080607,1.335417e-07,1.0183286e-09
0.71365555,0.0281571,0.00047201724,1.4537934e-07,0.029267815,0.00013392853,1.0476053e-07,0.029597766,6.5600093e-05,8.0896873e-08,0.029909081,1.8517367e-05,4.3225548e-08,0.030007314,7.8038887e-06,2.4874289e-08,0.030034539,5.254122e-06,1.8785433e-08,0.030087787,9.0459667e-07,5.0208043e-09,0.030099383,1.2683487e-07,1.2891183e-09
0.84896772,0.028037884,0.00051997913,1.7482332e-07,0.029235165,0.00014469126,1.2627607e-07,0.02958756,7.0038158e-05,9.7582376e-08,0.029917699,1.9493716e-05,5.2137788e-08,0.030021319,8.153239e-06,2.9973363e-08,0.030049985,5.4695877e-06,2.2627894e-08,0.030105984,9.1980284e-07,6.0498746e-09,0.03011817,1.1931181e-07,1.6024935e-09
0.98510155,0.027915487,0.00056985302,2.0475885e-07,0.02920161,0.00015596273,1.4819603e-07,0.02957708,7.459025e-05,1.1456181e-07,0.029926303,2.0473327e-05,6.1139512e-08,0.030035321,8.4999164e-06,3.5073959e-08,0.030065427,5.6822663e-06,2.6448021e-08,0.030124163,9.33695e-07,7.0249945e-09,0.030136933,1.1125338e-07,1.8806157e-09
1.1219382,0.027789038,0.00062397239,2.3577099e-07,0.029166566,0.00016789217,1.7108126e-07,0.029566007,7.9306888e-05,1.3235422e-07,0.02993477,2.1467588e-05,7.0607184e-08,0.030049255,8.8487175e-06,4.0444088e-08,0.030080812,5.8954912e-06,3.0474454e-08,0.0301423,9.4706157e-07,8.069914e-09,0.030155655,1.029469e-07,2.1827688e-09
1.259356,0.027658398,0.00068593715,2.6763011e-07,0.029129985,0.0001805144,1.9467355e-07,0.029554334,8.4200765e-05,1.5069904e-07,0.029943089,2.2477469e-05,8.0323179e-08,0.030063106,9.2001143e-06,4.5919717e-08,0.030096125,6.1096382e-06,3.4566047e-08,0.030160378,9.6006302e-07,9.110468e-09,0.030174318,9.4420381e-08,2.4749489e-09
1.3972812,0.0275226,0.00076061594,3.0034e-07,0.029091824,0.00019378874,2.1898327e-07,0.029542032,8.9285695e-05,1.6961053e-07,0.029951243,2.3502777e-05,9.0304169e-08,0.030076859,9.5535342e-06,5.1516864e-08,0.030111353,6.3241522e-06,3.8739101e-08,0.030178385,9.7237382e-07,1.01634e-08,0.030192913,8.552515e-08,2.7676051e-09
1.5356629,0.027379672,0.0008536748,3.3404923e-07,0.029052174,0.00020758094,2.4413011e-07,0.029529145,9.4576624e-05,1.8918682e-07,0.02995925,2.4543207e-05,1.0061115e-07,0.030090522,9.9091589e-06,5.7281766e-08,0.030126499,6.5393491e-06,4.3036981e-08,0.030196319,9.8433551e-07,1.1267654e-08,0.030211433,7.6474645e-08,3.0875462e-09
