time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
6e-07,0.14791011,0.00026609462,-1.5386343e-08,0.14919536,7.9278338e-05,-1.4081049e-08,0.14960303,3.4651218e-05,-1.2948089e-08,0.14979596,1.6611043e-05,-1.1961592e-08
1.32e-06,0.1478458,0.00027504177,4.1797241e-09,0.14917175,8.1678604e-05,3.8170065e-09,0.14959154,3.5668809e-05,3.5035263e-09,0.14979008,1.709242e-05,3.2229099e-09
2.184e-06,0.14780315,0.00028106687,1.0599998e-09,0.14915617,8.3268632e-05,1.0292978e-09,0.14958397,3.6340335e-05,9.9113683e-10,0.14978622,1.7409466e-05,9.5133148e-10
3.2208e-06,0.14777174,0.00028556861,1.6575359e-10,0.14914474,8.4439401e-05,2.710265e-10,0.14957843,3.6833359e-05,3.3732894e-10,0.14978339,1.7642036e-05,3.8175226e-10
4.46496e-06,0.14774715,0.00028914037,-2.2867173e-10,0.14913583,8.5356205e-05,-1.0516509e-10,0.1495741,3.72184e-05,-1.7160936e-11,0.14978118,1.7823524e-05,4.8750059e-11
5.957952e-06,0.14772713,0.000292085,-3.3341912e-10,0.14912858,8.6103245e-05,-2.2056037e-10,0.14957059,3.7531446e-05,-1.3737334e-10,0.14977939,1.7970981e-05,-7.2807775e-11
7.7495424e-06,0.14771036,0.00029457934,-3.3842427e-10,0.14912253,8.6729362e-05,-2.4106902e-10,0.14956765,3.7793312e-05,-1.6809662e-10,0.14977789,1.8094261e-05,-1.1066352e-10
9.8994509e-06,0.14769602,0.00029673604,-3.1498985e-10,0.14911736,8.7265458e-05,-2.3174304e-10,0.14956514,3.8017135e-05,-1.6869035e-10,0.14977661,1.8199583e-05,-1.1876083e-10
1.2479341e-05,0.14768354,0.00029863236,-2.8797862e-10,0.14911287,8.7732559e-05,-2.1627064e-10,0.14956297,3.8211831e-05,-1.6150835e-10,0.1497755,1.8291158e-05,-1.1799708e-10
1.5575209e-05,0.14767253,0.00030032274,-2.6241094e-10,0.14910891,8.8145398e-05,-1.9988128e-10,0.14956105,3.8383634e-05,-1.5180525e-10,0.14977453,1.837193e-05,-1.1354526e-10
1.9290251e-05,0.14766269,0.00030184706,-2.4113547e-10,0.14910538,8.8514694e-05,-1.8577264e-10,0.14955934,3.8537073e-05,-1.4293876e-10,0.14977365,1.8444035e-05,-1.0881743e-10
2.3748301e-05,0.14765382,0.00030323529,-1.3970357e-10,0.14910219,8.8848458e-05,-1.15753e-10,0.1495578,3.8675525e-05,-9.331824e-11,0.14977287,1.8509069e-05,-7.4604984e-11
2.9097962e-05,0.14764574,0.0003045103,-2.1711368e-10,0.1490993,8.915277e-05,-1.7501772e-10,0.1495564,3.8801566e-05,-1.3877714e-10,0.14977216,1.8568243e-05,-1.1043027e-10
3.5517554e-05,0.14763834,0.0003056898,-2.126262e-10,0.14909665,8.9432329e-05,-1.7382214e-10,0.14955511,3.8917155e-05,-1.3966214e-10,0.1497715,1.8622471e-05,-1.1249989e-10
4.3221065e-05,0.1476315,0.00030678779,-2.1138653e-10,0.14909421,8.9690859e-05,-1.7476594e-10,0.14955393,3.9023873e-05,-1.418288e-10,0.1497709,1.8672507e-05,-1.1519087e-10
5.2465278e-05,0.14762516,0.00030781552,-2.1610198e-10,0.14909194,8.9931332e-05,-1.8017196e-10,0.14955284,3.9122974e-05,-1.4728607e-10,0.14977035,1.8718942e-05,-1.2022543e-10
6.3558333e-05,0.14761924,0.00030878225,-2.2605247e-10,0.14908983,9.0156189e-05,-1.8948937e-10,0.14955182,3.9215484e-05,-1.5560194e-10,0.14976983,1.876226e-05,-1.2727539e-10
7.687e-05,0.14761369,0.00030969572,-1.5230815e-10,0.14908786,9.0367463e-05,-1.3362921e-10,0.14955087,3.9302261e-05,-1.112425e-10,0.14976935,1.8802868e-05,-9.1682776e-11
9.2844e-05,0.14760847,0.0003105622,-1.5733731e-10,0.149086,9.0566789e-05,-1.3944349e-10,0.14954998,3.9383993e-05,-1.1654918e-10,0.1497689,1.8841085e-05,-9.6184849e-11
0.0001120128,0.14760353,0.00031138715,-1.649154e-10,0.14908425,9.0755591e-05,-1.4761424e-10,0.14954914,3.946128e-05,-1.2378089e-10,0.14976848,1.8877195e-05,-1.0218759e-10
0.00013501536,0.14759885,0.0003121753,-1.7333398e-10,0.14908259,9.0935097e-05,-1.5671363e-10,0.14954834,3.9534639e-05,-1.3171502e-10,0.14976809,1.8911442e-05,-1.0865525e-10
0.00016261843,0.1475944,0.00031293082,-1.8106874e-10,0.14908102,9.1106384e-05,-1.656018e-10,0.14954759,3.9604521e-05,-1.3945842e-10,0.14976771,1.8944038e-05,-1.1488527e-10
0.00019574212,0.14759014,0.00031365739,-1.8679975e-10,0.14907953,9.1270402e-05,-1.732315e-10,0.14954688,3.9671326e-05,-1.4611848e-10,0.14976736,1.8975172e-05,-1.2012413e-10
0.00023549054,0.14758607,0.00031435829,-1.8993059e-10,0.1490781,9.1427981e-05,-1.7917662e-10,0.14954621,3.9735403e-05,-1.5133019e-10,0.14976703,1.9005007e-05,-1.2405318e-10
0.00028318865,0.14758216,0.00031503703,-1.8886074e-10,0.14907673,9.1580009e-05,-1.8288662e-10,0.14954556,3.9797116e-05,-1.5500966e-10,0.14976672,1.9033713e-05,-1.267969e-10
0.00034042638,0.14757839,0.00031569691,-1.9206431e-10,0.14907542,9.172731e-05,-1.8979522e-10,0.14954495,3.9856807e-05,-1.6040535e-10,0.14976643,1.9061447e-05,-1.3010974e-10
0.00040911166,0.14757474,0.00031634069,-1.8541995e-10,0.14907416,9.1870571e-05,-1.9107446e-10,0.14954437,3.9914762e-05,-1.6234368e-10,0.14976616,1.9088344e-05,-1.313078e-10
0.00049153399,0.14757119,0.00031697147,-1.7657604e-10,0.14907294,9.2010542e-05,-1.9197589e-10,0.14954381,3.9971286e-05,-1.642788e-10,0.1497659,1.9114543e-05,-1.3246655e-10
0.00059044078,0.14756773,0.00031759235,-8.2551562e-11,0.14907175,9.214798e-05,-1.3271061e-10,0.14954327,4.0026693e-05,-1.1834692e-10,0.14976566,1.9140196e-05,-9.4971551e-11
0.00070912894,0.14756433,0.00031820671,-2.6323922e-11,0.14907061,9.2283673e-05,-1.0595497e-10,0.14954276,4.0081293e-05,-9.791863e-11,0.14976545,1.9165433e-05,-7.6824652e-11
0.00085155473,0.14756099,0.00031881822,-1.4605188e-11,0.14906949,9.2418496e-05,-1.1340382e-10,0.14954228,4.0135437e-05,-1.0673173e-10,0.14976525,1.9190415e-05,-8.3440002e-11
0.0010224657,0.14755767,0.00031943071,-3.2765145e-13,0.14906839,9.2553349e-05,-1.2157581e-10,0.14954181,4.0189492e-05,-1.1622863e-10,0.14976507,1.9215312e-05,-9.0308442e-11
0.0012275588,0.14755436,0.00032004881,2.3868476e-11,0.14906731,9.2689306e-05,-1.270685e-10,0.14954137,4.0243877e-05,-1.2489746e-10,0.14976492,1.9240309e-05,-9.6826775e-11
0.0014736706,0.14755103,0.00032067742,5.2852127e-11,0.14906625,9.2827509e-05,-1.3315633e-10,0.14954095,4.0299053e-05,-1.3458184e-10,0.1497648,1.9265617e-05,-1.0398882e-10
0.0017690047,0.14754766,0.00032132244,1.4782458e-10,0.14906519,9.29693e-05,-9.5372629e-11,0.14954055,4.0355542e-05,-1.1003667e-10,0.1497647,1.9291466e-05,-8.3211963e-11
0.0021234056,0.14754421,0.00032199083,1.9326659e-10,0.14906413,9.3116284e-05,-1.009018e-10,0.14954017,4.0413976e-05,-1.1764613e-10,0.14976463,1.9318137e-05,-8.5045923e-11
0.0025486867,0.14754065,0.00032269045,2.4950477e-10,0.14906307,9.3270263e-05,-1.077546e-10,0.14953982,4.0475072e-05,-1.3120087e-10,0.14976461,1.9345955e-05,-9.4623792e-11
0.0030590241,0.14753692,0.00032343064,3.2326295e-10,0.14906198,9.3433337e-05,-1.1188052e-10,0.14953949,4.0539647e-05,-1.4488039e-10,0.14976462,1.937528e-05,-1.0457612e-10
0.0036714289,0.14753299,0.00032422265,4.1109827e-10,0.14906088,9.3608026e-05,-1.09158e-10,0.14953919,4.060867e-05,-1.4853602e-10,0.14976469,1.9406532e-05,-1.0050386e-10
0.0044063147,0.1475288,0.00032507972,4.8688412e-10,0.14905973,9.3797375e-05,-1.3334991e-10,0.14953891,4.068336e-05,-1.789584e-10,0.14976481,1.9440271e-05,-1.197208e-10
0.0052881776,0.14752426,0.00032601766,6.0166008e-10,0.14905853,9.4004876e-05,-1.4661456e-10,0.14953867,4.0765049e-05,-2.0495547e-10,0.149765,1.947707e-05,-1.3671676e-10
0.0063464132,0.1475193,0.00032705582,7.3444155e-10,0.14905726,9.423493e-05,-1.6797958e-10,0.14953846,4.0855469e-05,-2.4163674e-10,0.14976528,1.95177e-05,-1.6219906e-10
0.0076162958,0.1475138,0.00032821728,9.1246741e-10,0.1490559,9.4492727e-05,-1.8006991e-10,0.14953828,4.0956638e-05,-2.748193e-10,0.14976564,1.9563052e-05,-1.8308015e-10
0.0091401549,0.14750765,0.00032952876,1.1291211e-09,0.14905442,9.4784214e-05,-1.8942198e-10,0.14953815,4.1070881e-05,-3.0998587e-10,0.14976612,1.9614166e-05,-2.0524693e-10
0.010968786,0.14750071,0.00033102236,1.343209e-09,0.14905281,9.5116586e-05,-2.3850859e-10,0.14953806,4.1201024e-05,-3.8500571e-10,0.14976674,1.9672305e-05,-2.59179e-10
0.013163143,0.1474928,0.00033273592,1.6350149e-09,0.14905103,9.5498031e-05,-2.6957413e-10,0.14953804,4.1350167e-05,-4.5297977e-10,0.14976751,1.9738789e-05,-3.0747785e-10
0.015796372,0.14748372,0.0003347156,2.017096e-09,0.14904904,9.5938825e-05,-2.797922e-10,0.14953807,4.1522338e-05,-5.1260069e-10,0.14976848,1.9815418e-05,-3.4774769e-10
0.018956246,0.14747321,0.00033701645,2.4811442e-09,0.14904679,9.6450941e-05,-2.8712114e-10,0.14953819,4.1722148e-05,-5.8072562e-10,0.14976967,1.9904202e-05,-3.9400595e-10
0.022748095,0.14746101,0.00033970195,3.0503699e-09,0.14904424,9.704817e-05,-3.232212e-10,0.1495384,4.1955048e-05,-7.0008357e-10,0.14977114,2.0007635e-05,-4.9037003e-10
0.027298314,0.14744673,0.00034285634,3.67783e-09,0.14904132,9.7748291e-05,-3.9254279e-10,0.14953873,4.2227714e-05,-8.6103145e-10,0.14977295,2.0128528e-05,-6.1959718e-10
0.032758577,0.14742972,0.00034660489,4.7907997e-09,0.14903788,9.8579523e-05,-2.0751931e-10,0.14953914,4.2551308e-05,-8.5530718e-10,0.14977512,2.0271932e-05,-6.3248726e-10
0.039310892,0.14740928,0.00035109137,6.3540638e-09,0.14903376,9.957258e-05,1.9004773e-10,0.14953965,4.2937636e-05,-7.2680784e-10,0.14977774,2.0442998e-05,-5.6743165e-10
0.04717367,0.14738467,0.00035646519,8.5751346e-09,0.1490288,0.00010076161,9.1721899e-10,0.14954026,4.3400325e-05,-4.1658796e-10,0.14978088,2.0647874e-05,-4.1288208e-10
0.056609004,0.14735488,0.00036292745,1.1864151e-08,0.14902276,0.00010219066,2.2539063e-09,0.14954094,4.3956668e-05,2.7773987e-10,0.14978462,2.0894203e-05,-1.1456717e-11
0.067931405,0.14731894,0.0003707271,1.5767731e-08,0.14901551,0.00010390293,3.7981579e-09,0.14954178,4.4622345e-05,1.0230662e-09,0.14978912,2.1188887e-05,3.7020912e-10
0.081518285,0.14727549,0.00038017041,2.0973857e-08,0.14900681,0.00010595411,5.9529011e-09,0.14954279,4.5417253e-05,2.1338977e-09,0.14979452,2.1539962e-05,1.0027187e-09
0.097822541,0.14722223,0.00039173479,2.7370451e-08,0.14899611,0.0001084406,8.631186e-09,0.1495439,4.6378906e-05,3.520542e-09,0.14980095,2.1964386e-05,1.7812779e-09
0.11738765,0.14715586,0.0004060908,3.6660561e-08,0.14898255,0.00011149353,1.3067124e-08,0.14954489,4.7557116e-05,6.0286917e-09,0.1498085,2.2483798e-05,3.2733084e-09
0.14086578,0.14707314,0.00042400163,4.9535777e-08,0.14896544,0.00011524419,1.9504066e-08,0.14954572,4.8999353e-05,9.6826764e-09,0.14981736,2.3118469e-05,5.3796016e-09
0.16868362,0.14697439,0.00044571259,6.5139445e-08,0.14894519,0.00011968946,2.7223699e-08,0.14954673,5.069965e-05,1.4018029e-08,0.14982788,2.3864483e-05,7.8576942e-09
0.1965961,0.14687508,0.00046804162,8.1221759e-08,0.14892514,0.00012413339,3.5004902e-08,0.14954791,5.2387796e-05,1.8310361e-08,0.14983851,2.4602351e-05,1.0296505e-08
0.22458108,0.146776,0.00049098813,9.553057e-08,0.14890561,0.00012855347,4.1326815e-08,0.14954941,5.4053647e-05,2.1583843e-08,0.14984933,2.5327603e-05,1.2091546e-08
0.25262478,0.14667586,0.000514857,1.1004517e-07,0.14888617,0.00013299359,4.7467214e-08,0.14955103,5.5712008e-05,2.4656283e-08,0.14986023,2.6046005e-05,1.3755351e-08
0.28071809,0.14657423,0.00053984001,1.2460563e-07,0.14886663,0.00013747371,5.33903e-08,0.14955267,5.7370951e-05,2.7511614e-08,0.14987116,2.6761299e-05,1.5275961e-08
0.30885892,0.14646986,0.00056631609,1.4000797e-07,0.14884659,0.00014204629,5.9587467e-08,0.14955413,5.9051942e-05,3.042694e-08,0.14988202,2.7483962e-05,1.6783062e-08
0.33703888,0.14636297,0.00059450289,1.5656363e-07,0.14882612,0.00014669625,6.6321104e-08,0.14955544,6.0747784e-05,3.3595836e-08,0.14989281,2.8210299e-05,1.8416729e-08
0.36526387,0.1462526,0.00062475841,1.749939e-07,0.14880495,0.00015145691,7.4046355e-08,0.14955648,6.2470706e-05,3.7253861e-08,0.14990348,2.8945776e-05,2.0269375e-08
0.39354101,0.14613829,0.00065726451,1.9500382e-07,0.14878303,0.00015634525,8.2676866e-08,0.14955723,6.4225738e-05,4.1420396e-08,0.14991402,2.9692881e-05,2.2401076e-08
0.42187767,0.14601939,0.000692091,2.1671956e-07,0.1487602,0.00016138685,9.2265159e-08,0.14955762,6.6020316e-05,4.6117709e-08,0.14992441,3.0454574e-05,2.4823888e-08
0.45027098,0.14589634,0.00072867503,2.3984137e-07,0.14873656,0.00016657431,1.0251415e-07,0.14955771,6.7849921e-05,5.1104768e-08,0.14993466,3.1228511e-05,2.7364514e-08
0.47872131,0.14576951,0.00076614507,2.6441849e-07,0.14871209,0.00017190997,1.1348466e-07,0.14955748,6.9714377e-05,5.6432272e-08,0.14994478,3.2014487e-05,3.0062562e-08
0.50722818,0.14563929,0.00080366975,2.9055171e-07,0.14868675,0.00017740525,1.252025e-07,0.14955692,7.1616658e-05,6.2093448e-08,0.14995475,3.2813691e-05,3.2902809e-08
0.53579141,0.14550646,0.00083990554,3.1857514e-07,0.14866048,0.00018307188,1.3796969e-07,0.149556,7.3558601e-05,6.8309807e-08,0.14996456,3.3626314e-05,3.6020169e-08
0.56441059,0.14537262,0.00087394467,3.4750756e-07,0.14863345,0.00018890156,1.5103217e-07,0.14955483,7.5534388e-05,7.4596596e-08,0.14997427,3.4449519e-05,3.9155102e-08
0.59308469,0.14523943,0.00090487171,3.7738842e-07,0.14860563,0.00019490514,1.6432725e-07,0.14955336,7.7546507e-05,8.0832748e-08,0.14998386,3.5284153e-05,4.2168292e-08
0.62181318,0.14510846,0.00093320048,4.0838748e-07,0.14857698,0.00020109614,1.7798829e-07,0.14955161,7.9596581e-05,8.7121457e-08,0.14999333,3.6130893e-05,4.5141968e-08
0.65059516,0.14498124,0.00096037087,4.4064123e-07,0.14854748,0.00020749805,1.9214905e-07,0.14954954,8.1686071e-05,9.3576013e-08,0.15000266,3.6989858e-05,4.8167208e-08
0.67942954,0.14485887,0.00099016651,4.7394962e-07,0.14851711,0.0002141434,2.0663679e-07,0.14954716,8.3816074e-05,1.0005408e-07,0.15001187,3.7861189e-05,5.113098e-08
0.70831512,0.1447418,0.0010277457,5.0835188e-07,0.14848584,0.00022107933,2.2149872e-07,0.14954446,8.5988367e-05,1.0659276e-07,0.15002095,3.8745377e-05,5.4054384e-08
0.73725075,0.14462962,0.0010808142,5.439141e-07,0.14845366,0.00022836261,2.3681715e-07,0.14954144,8.8203456e-05,1.1326363e-07,0.15002989,3.9642323e-05,5.6997094e-08
0.76623529,0.14452078,0.0011576785,5.8088332e-07,0.14842051,0.00023606427,2.5268105e-07,0.1495381,9.0463086e-05,1.2007504e-07,0.15003869,4.0552373e-05,5.9938938e-08
0.79526761,0.14441117,0.0012679839,6.2173142e-07,0.14838595,0.00024429884,2.7074896e-07,0.14953423,9.278661e-05,1.280466e-07,0.15004726,4.1484407e-05,6.345443e-08
0.82434779,0.14429711,0.0014214095,6.6236337e-07,0.14835021,0.0002530834,2.8833422e-07,0.14952999,9.5159701e-05,1.3556238e-07,0.15005567,4.243113e-05,6.6647462e-08
0.85347507,0.14417289,0.0016268052,7.0572356e-07,0.148313,0.0002624561,3.0755065e-07,0.14952526,9.7594193e-05,1.4393867e-07,0.15006386,4.3398056e-05,7.0253968e-08
0.88264965,0.14403184,0.0018930791,7.510102e-07,0.14827431,0.00027235916,3.2768982e-07,0.14952006,0.00010008711,1.5268635e-07,0.15007184,4.4383603e-05,7.3992399e-08
0.91187153,0.14386655,0.0022242271,7.9754308e-07,0.14823408,0.00028265483,3.483367e-07,0.14951436,0.00010263986,1.6156604e-07,0.1500796,4.538865e-05,7.7730705e-08
0.94114059,0.14366946,0.0026257424,8.4532758e-07,0.14819243,0.00029308306,3.6942932e-07,0.14950822,0.00010525345,1.7048563e-07,0.15008716,4.6415186e-05,8.139065e-08
0.97045617,0.14343063,0.0030973207,8.9665531e-07,0.14814901,0.00030329341,3.9276135e-07,0.14950142,0.00010793841,1.8062834e-07,0.15009442,4.7467037e-05,8.5667583e-08
0.99981897,0.14314392,0.0036278232,9.4763204e-07,0.14810447,0.00031274704,4.1557231e-07,0.14949416,0.00011068277,1.9026089e-07,0.15010148,4.8539253e-05,8.957593e-08
1.0292281,0.1428025,0.0042162787,9.999678e-07,0.14805908,0.00032083882,4.390598e-07,0.14948642,0.00011348864,2.0007011e-07,0.15010832,4.9631219e-05,9.3470438e-08
1.0586825,0.14240103,0.0048474073,1.053672e-06,0.14801333,0.00032690916,4.6339714e-07,0.14947821,0.00011636402,2.1018067e-07,0.15011494,5.0744564e-05,9.7434496e-08
1.0881812,0.14193679,0.0054891456,1.1089086e-06,0.14796784,0.00033031521,4.8861484e-07,0.14946952,0.00011931665,2.2058398e-07,0.15012135,5.1876797e-05,1.0144757e-07
1.117723,0.14140811,0.0061162136,1.1644888e-06,0.14792335,0.0003305396,5.1417738e-07,0.14946035,0.0001223724,2.3101005e-07,0.15012753,5.3033408e-05,1.0538247e-07
1.147307,0.14081334,0.0066902219,1.2213741e-06,0.14788083,0.00032723218,5.405666e-07,0.14945074,0.00012554448,2.4171469e-07,0.15013352,5.4207839e-05,1.093663e-07
1.1769323,0.14015347,0.0072180879,1.2793895e-06,0.14784116,0.00032043026,5.6803573e-07,0.14944063,0.00012887044,2.5282516e-07,0.15013928,5.5403882e-05,1.1345441e-07
1.206598,0.13942963,0.0077049261,1.3389882e-06,0.14780526,0.00031061572,5.9699849e-07,0.14943001,0.00013238731,2.6461737e-07,0.15014482,5.6622769e-05,1.1780151e-07
1.2363014,0.13864433,0.0081554501,1.3960147e-06,0.14777425,0.00029879505,6.2421538e-07,0.14941896,0.00013611929,2.7505666e-07,0.15015018,5.7859109e-05,1.2127443e-07
1.266023,0.13779828,0.0085744714,1.4545754e-06,0.14774869,0.00028668986,6.5312229e-07,0.14940738,0.00014010485,2.863107e-07,0.15015533,5.9118494e-05,1.2508744e-07
1.2957624,0.13689251,0.0089642339,1.5136788e-06,0.14772908,0.0002766337,6.8277369e-07,0.14939522,0.00014434758,2.9773726e-07,0.15016026,6.03943e-05,1.2885863e-07
1.3255188,0.13592999,0.0093262533,1.5727023e-06,0.14771563,0.00027150119,7.1318753e-07,0.14938246,0.00014884164,3.0935152e-07,0.15016496,6.1692542e-05,1.3259363e-07
1.3552913,0.13491298,0.0096622201,1.6321304e-06,0.14770761,0.00027530319,7.4442015e-07,0.14936904,0.00015353599,3.2118578e-07,0.15016943,6.3009585e-05,1.3631204e-07
1.3850794,0.13384534,0.0099727938,1.6915029e-06,0.14770471,0.00029209859,7.7638676e-07,0.14935496,0.00015832831,3.3318514e-07,0.15017367,6.4343511e-05,1.399775e-07
1.4148826,0.13273081,0.010258297,1.7515061e-06,0.14770455,0.00032612646,8.0941196e-07,0.14934023,0.00016305251,3.455252e-07,0.15017767,6.5694094e-05,1.4367819e-07
1.4447006,0.131574,0.010519299,1.8116911e-06,0.14770649,0.00038265353,8.4322089e-07,0.1493249,0.00016748615,3.5806915e-07,0.15018145,6.7059824e-05,1.4733183e-07
1.4745327,0.13037976,0.010756955,1.8722468e-06,0.14770862,0.00046567774,8.7803087e-07,0.14930903,0.00017134218,3.7094639e-07,0.15018499,6.8441493e-05,1.5101228e-07
1.5043788,0.12915362,0.010971362,1.9326855e-06,0.14770657,0.00057956319,9.1337583e-07,0.14929287,0.00017424595,3.8392332e-07,0.15018831,6.9839518e-05,1.5458007e-07
1.5342383,0.12789879,0.011162985,1.9914647e-06,0.14769762,0.00072684395,9.4829145e-07,0.14927667,0.00017578802,3.9637896e-07,0.15019144,7.125592e-05,1.5768687e-07
1.5641109,0.12661785,0.011332745,2.0565718e-06,0.14767794,0.00090961477,9.8823534e-07,0.14926057,0.00017557439,4.1156304e-07,0.15019429,7.2707376e-05,1.6210213e-07
1.5939965,0.12531591,0.011478177,2.119074e-06,0.14764249,0.0011292466,1.0267609e-06,0.14924511,0.0001731474,4.2578754e-07,0.15019692,7.4198754e-05,1.658236e-07
