time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
6e-07,0.14878598,0.00014460268,-1.2260593e-08,0.14945274,5.3326648e-05,-1.1480551e-08,0.14975831,2.0669302e-05,-1.0593666e-08,0.14987539,1.0025101e-05,-9.846565e-09
1.32e-06,0.14873793,0.00015066473,2.8366289e-09,0.14943168,5.5430955e-05,2.6403643e-09,0.14974912,2.1464631e-05,2.4378247e-09,0.14987067,1.0407402e-05,2.2761737e-09
2.184e-06,0.14870752,0.00015455966,-2.9261716e-10,0.14941842,5.6761912e-05,-1.8942757e-10,0.14974335,2.1964251e-05,-9.6648738e-11,0.14986771,1.0646944e-05,-4.9755853e-11
3.2208e-06,0.14868577,0.00015738338,-5.8244431e-10,0.14940899,5.7713965e-05,-4.6069815e-10,0.14973926,2.2319846e-05,-3.3775938e-10,0.14986562,1.0817166e-05,-2.672406e-10
4.46496e-06,0.14866921,0.00015955963,-5.5296738e-10,0.14940184,5.8438925e-05,-4.4726648e-10,0.14973616,2.2589429e-05,-3.4445736e-10,0.14986403,1.094602e-05,-2.842395e-10
5.957952e-06,0.14865609,0.00016130633,-4.6074396e-10,0.14939619,5.9014302e-05,-3.7809264e-10,0.14973371,2.2802533e-05,-2.9743817e-10,0.14986278,1.1047758e-05,-2.4892068e-10
7.7495424e-06,0.14864535,0.00016275223,-3.7510574e-10,0.14939159,5.9485529e-05,-3.1112599e-10,0.14973172,2.2976398e-05,-2.4765284e-10,0.14986176,1.1130665e-05,-2.0989415e-10
9.8994509e-06,0.14863635,0.0001639781,-2.8876472e-10,0.14938774,5.9880945e-05,-2.4922979e-10,0.14973006,2.312173e-05,-1.9787146e-10,0.14986091,1.1199875e-05,-1.7024023e-10
1.2479341e-05,0.14862866,0.00016503723,-2.5047117e-10,0.14938446,6.0219288e-05,-2.1725168e-10,0.14972864,2.3245665e-05,-1.7360658e-10,0.14986018,1.1258841e-05,-1.496222e-10
1.5575209e-05,0.14862199,0.00016596665,-2.1946389e-10,0.14938162,6.0513399e-05,-1.91209e-10,0.14972742,2.3353016e-05,-1.5354747e-10,0.14985956,1.1309858e-05,-1.3231332e-10
1.9290251e-05,0.14861612,0.00016679289,-1.9740465e-10,0.14937914,6.0772472e-05,-1.7268679e-10,0.14972635,2.3447244e-05,-1.3929469e-10,0.14985902,1.1354588e-05,-1.1988899e-10
2.3748301e-05,0.1486109,0.0001675353,-1.8435388e-10,0.14937693,6.1003215e-05,-1.6178556e-10,0.1497254,2.3530875e-05,-1.3110408e-10,0.14985853,1.1394242e-05,-1.1263178e-10
2.9097962e-05,0.14860622,0.00016820861,-1.7990066e-10,0.14937496,6.1210696e-05,-1.5809845e-10,0.14972456,2.3605812e-05,-1.2871243e-10,0.1498581,1.1429733e-05,-1.1034928e-10
3.5517554e-05,0.14860199,0.00016882414,-1.8297087e-10,0.14937318,6.1398817e-05,-1.6070856e-10,0.14972379,2.3673521e-05,-1.3140188e-10,0.14985772,1.1461761e-05,-1.1247661e-10
4.3221065e-05,0.14859813,0.00016939086,-1.9005566e-10,0.14937156,6.1570636e-05,-1.6682602e-10,0.1497231,2.3735149e-05,-1.369534e-10,0.14985737,1.1490877e-05,-1.1719448e-10
5.2465278e-05,0.14859459,0.00016991592,-1.9559841e-10,0.14937008,6.1728601e-05,-1.7202485e-10,0.14972247,2.379161e-05,-1.4175859e-10,0.14985705,1.1517519e-05,-1.2139108e-10
6.3558333e-05,0.14859132,0.00017040517,-1.9622341e-10,0.14936872,6.18747e-05,-1.7358094e-10,0.14972189,2.384365e-05,-1.4356566e-10,0.14985676,1.1542043e-05,-1.2302958e-10
7.687e-05,0.1485883,0.00017086341,-1.9958586e-10,0.14936746,6.2010563e-05,-1.7844476e-10,0.14972136,2.3891876e-05,-1.4757886e-10,0.14985649,1.1564739e-05,-1.2739159e-10
9.2844e-05,0.14858547,0.00017129473,-1.9855877e-10,0.1493663,6.2137581e-05,-1.7892936e-10,0.14972087,2.3936811e-05,-1.4834428e-10,0.14985624,1.1585859e-05,-1.2794372e-10
0.0001120128,0.14858283,0.00017170261,-1.9817927e-10,0.14936521,6.2256924e-05,-1.8022691e-10,0.14972041,2.3978889e-05,-1.4963187e-10,0.14985602,1.1605609e-05,-1.2870122e-10
0.00013501536,0.14858034,0.00017209009,-1.9928654e-10,0.14936419,6.2369612e-05,-1.8316048e-10,0.14971999,2.401849e-05,-1.5224149e-10,0.14985581,1.162417e-05,-1.3044293e-10
0.00016261843,0.14857799,0.00017245988,-2.0342145e-10,0.14936322,6.2476549e-05,-1.8909258e-10,0.14971959,2.4055949e-05,-1.5732641e-10,0.14985562,1.1641701e-05,-1.3419131e-10
0.00019574212,0.14857576,0.00017281445,-2.1230878e-10,0.14936232,6.2578556e-05,-1.9955944e-10,0.14971922,2.4091567e-05,-1.6622177e-10,0.14985544,1.1658347e-05,-1.4112419e-10
0.00023549054,0.14857363,0.0001731561,-2.2651572e-10,0.14936145,6.2676389e-05,-2.1521255e-10,0.14971887,2.4125624e-05,-1.7949991e-10,0.14985527,1.1674237e-05,-1.5177048e-10
0.00028318865,0.14857159,0.00017348704,-2.4274469e-10,0.14936063,6.277077e-05,-2.3340153e-10,0.14971854,2.4158381e-05,-1.9497203e-10,0.14985512,1.1689496e-05,-1.6425575e-10
0.00034042638,0.14856962,0.00017380944,-2.5550405e-10,0.14935985,6.2862398e-05,-2.4939672e-10,0.14971823,2.4190093e-05,-2.0852964e-10,0.14985499,1.1704243e-05,-1.7489464e-10
